,Tournament,Date,Series,Court,Surface,Round,P,S,PRank,SRank,PPts,SPts,P1,S1,P2,S2,P3,S3,P4,S4,P5,S5,Psets,Ssets,Gana_P,Punto_Average_P,Dif_P,Puntos_Marcados_P,Victorias_P,Derrotas_P,Punto_Average_S,Dif_S,Puntos_Marcados_S,Victorias_S,Derrotas_S
0,US Open,29/08/16,Grand Slam,Outdoor,Hard,1st Round,Darcis S.,Thompson J.,106.0,91.0,562.0,633.0,5.0,7.0,3.0,6.0,7.0,6.0,6.0,4.0,7.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,10.0,25.0,0.0,0.0,0.0,1.0,4.0
1,US Open,29/08/16,Grand Slam,Outdoor,Hard,1st Round,Kuznetsov An.,Bellucci T.,47.0,65.0,988.0,760.0,6.0,4.0,3.0,6.0,6.0,2.0,7.0,6.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,13.0,12.0,0.0,0.0,0.0,21.0,29.0
2,US Open,29/08/16,Grand Slam,Outdoor,Hard,1st Round,Dutra Silva R.,Cilic M.,427.0,9.0,98.0,3515.0,4.0,6.0,5.0,7.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,77.0,33.0
3,US Open,29/08/16,Grand Slam,Outdoor,Hard,1st Round,Gasquet R.,Edmund K.,15.0,84.0,2230.0,679.0,2.0,6.0,2.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,84.0,37.0,0.0,0.0,0.0,2.0,7.0
4,US Open,29/08/16,Grand Slam,Outdoor,Hard,1st Round,Fratangelo B.,Pella G.,115.0,51.0,540.0,898.0,3.0,6.0,4.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,8.0
5,US Open,29/08/16,Grand Slam,Outdoor,Hard,1st Round,Escobedo E.,Lacko L.,201.0,99.0,277.0,606.0,6.0,4.0,4.0,6.0,4.0,6.0,6.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,26.0
6,US Open,29/08/16,Grand Slam,Outdoor,Hard,1st Round,Elias G.,Stakhovsky S.,60.0,92.0,806.0,631.0,1.0,6.0,6.0,3.0,6.0,2.0,3.0,6.0,6.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,29.0
7,US Open,29/08/16,Grand Slam,Outdoor,Hard,1st Round,Klizan M.,Youzhny M.,29.0,61.0,1405.0,801.0,2.0,6.0,1.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,14.0,18.0,0.0,0.0,0.0,68.0,40.0
8,US Open,29/08/16,Grand Slam,Outdoor,Hard,1st Round,Benneteau J.,Ramos-Vinolas A.,248.0,33.0,214.0,1330.0,6.0,3.0,3.0,6.0,3.0,6.0,6.0,2.0,1.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,6.0,7.0
9,US Open,29/08/16,Grand Slam,Outdoor,Hard,1st Round,Almagro N.,Fucsovics M.,48.0,155.0,987.0,366.0,6.0,1.0,6.0,4.0,7.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,58.0,38.0,0.0,0.0,0.0,0.0,0.0
