,Tournament,Date,Series,Court,Surface,Round,P,S,PRank,SRank,PPts,SPts,P1,S1,P2,S2,P3,S3,P4,S4,P5,S5,Psets,Ssets,Gana_P,Punto_Average_P,Dif_P,Puntos_Marcados_P,Victorias_P,Derrotas_P,Punto_Average_S,Dif_S,Puntos_Marcados_S,Victorias_S,Derrotas_S
0,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,Karlovic I.,Dodig I.,75.0,34.0,667.0,1190.0,6.0,7.0,3.0,6.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,21.0,27.0,0.0,0.0,0.0,12.0,15.0
1,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,Nieminen J.,Sela D.,39.0,68.0,1090.0,706.0,3.0,6.0,7.0,6.0,6.0,7.0,6.0,3.0,6.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,29.0,30.0,0.0,0.0,0.0,13.0,22.0
2,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,Youzhny M.,Struff J.L.,15.0,105.0,2145.0,527.0,6.0,1.0,6.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,64.0,31.0,0.0,0.0,0.0,1.0,3.0
3,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,Falla A.,Kukushkin M.,87.0,66.0,612.0,721.0,6.0,7.0,6.0,2.0,6.0,2.0,6.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,18.0,25.0,0.0,0.0,0.0,8.0,11.0
4,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,Querrey S.,Giraldo S.,51.0,69.0,915.0,703.0,6.0,3.0,6.0,2.0,3.0,6.0,7.0,6.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,28.0,27.0,0.0,0.0,0.0,6.0,19.0
5,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,Johnson S.,Mannarino A.,147.0,71.0,378.0,692.0,6.0,3.0,3.0,6.0,0.0,6.0,7.0,5.0,4.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,8.0,15.0
6,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,Wawrinka S.,Golubev A.,8.0,85.0,3890.0,620.0,6.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,65.0,32.0,0.0,0.0,0.0,4.0,14.0
7,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,Hajek J.,Dzumhur D.,103.0,188.0,540.0,272.0,4.0,6.0,2.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0
8,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,Thiem D.,Sousa J.,136.0,50.0,422.0,925.0,5.0,7.0,6.0,4.0,6.0,3.0,7.0,6.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
9,Australian Open,13/01/14,Grand Slam,Outdoor,Hard,1st Round,Mayer F.,Kudla D.,37.0,113.0,1110.0,497.0,6.0,4.0,6.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,2.0,5.0
