,Tournament,Date,Series,Court,Surface,Round,P,S,PRank,SRank,PPts,SPts,P1,S1,P2,S2,P3,S3,P4,S4,P5,S5,Psets,Ssets,Gana_P,Punto_Average_P,Dif_P,Puntos_Marcados_P,Victorias_P,Derrotas_P,Punto_Average_S,Dif_S,Puntos_Marcados_S,Victorias_S,Derrotas_S
0,Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Almagro N.,Johnson S.,11.0,175.0,2515.0,302.0,7.0,5.0,6.0,7.0,6.0,2.0,6.0,7.0,6.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,45.0,28.0,0.0,0.0,0.0,2.0,2.0
1,Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Hanescu V.,Nishikori K.,63.0,18.0,753.0,1870.0,7.0,6.0,3.0,6.0,1.0,6.0,3.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,17.0,21.0,0.0,0.0,0.0,17.0,13.0
2,Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Rufin G.,Reister J.,92.0,296.0,574.0,153.0,4.0,6.0,7.0,6.0,6.0,1.0,6.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,3.0,4.0
3,Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Berlocq C.,Authom M.,68.0,156.0,720.0,351.0,1.0,6.0,7.0,6.0,7.0,6.0,6.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,1.0
4,Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Benneteau J.,Dimitrov G.,38.0,41.0,1015.0,1008.0,6.0,4.0,6.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,30.0,27.0,0.0,0.0,0.0,5.0,9.0
5,Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Kubot L.,Gimeno-Traver D.,76.0,71.0,675.0,704.0,7.0,6.0,4.0,6.0,0.0,6.0,6.0,4.0,4.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,15.0,13.0,0.0,0.0,0.0,5.0,15.0
6,Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Bemelmans R.,Roger-Vasselin E.,114.0,101.0,486.0,539.0,3.0,6.0,7.0,6.0,6.0,2.0,5.0,7.0,9.0,11.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,7.0,14.0
7,Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Andujar P.,Malisse X.,45.0,55.0,915.0,791.0,3.0,6.0,1.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,14.0,0.0,0.0,0.0,19.0,22.0
8,Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Verdasco F.,Goffin D.,24.0,49.0,1445.0,843.0,6.0,3.0,3.0,6.0,4.0,6.0,6.0,3.0,6.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,63.0,28.0,0.0,0.0,0.0,5.0,3.0
9,Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Stebe C.M.,Wawrinka S.,164.0,17.0,327.0,1900.0,2.0,6.0,4.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,53.0,28.0
