,Tournament,Date,Series,Court,Surface,Round,P,S,PRank,SRank,PPts,SPts,P1,S1,P2,S2,P3,S3,P4,S4,P5,S5,Psets,Ssets,Gana_P,Punto_Average_P,Dif_P,Puntos_Marcados_P,Victorias_P,Derrotas_P,Punto_Average_S,Dif_S,Puntos_Marcados_S,Victorias_S,Derrotas_S
0,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,Basic M.,Haase R.,138.0,65.0,432.0,762.0,7.0,6.0,6.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,27.0
1,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,Stakhovsky S.,Goffin D.,60.0,16.0,780.0,1835.0,6.0,3.0,3.0,6.0,4.0,6.0,4.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,18.0,28.0,0.0,0.0,0.0,15.0,14.0
2,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,Edmund K.,Dzumhur D.,88.0,81.0,625.0,661.0,6.0,1.0,6.0,7.0,6.0,4.0,3.0,6.0,1.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,6.0
3,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,Estrella Burgos V.,Brands D.,55.0,151.0,797.0,393.0,4.0,6.0,6.0,7.0,6.0,4.0,1.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,6.0,15.0
4,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,Nishikori K.,Kohlschreiber P.,7.0,34.0,4235.0,1185.0,6.0,4.0,6.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,46.0,25.0,0.0,0.0,0.0,57.0,39.0
5,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,Krajicek A.,Wu D.,103.0,243.0,571.0,218.0,6.0,4.0,6.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0
6,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,Mayer L.,Thiem D.,36.0,20.0,1105.0,1645.0,2.0,6.0,6.0,7.0,6.0,4.0,6.0,7.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,26.0,25.0,0.0,0.0,0.0,9.0,8.0
7,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,Delbonis F.,Karlovic I.,53.0,24.0,815.0,1485.0,7.0,6.0,6.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,29.0,35.0
8,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,De Bakker T.,Cilic M.,98.0,13.0,607.0,2405.0,7.0,6.0,5.0,7.0,2.0,6.0,4.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,0.0,75.0,31.0
9,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,Cervantes I.,Donskoy E.,72.0,91.0,703.0,620.0,4.0,6.0,6.0,3.0,1.0,6.0,4.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,7.0
10,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,Berdych T.,Bhambri Y.,6.0,96.0,4560.0,610.0,7.0,5.0,6.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,107.0,40.0,0.0,0.0,0.0,0.0,1.0
11,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,Andujar P.,Herbert P.H.,62.0,167.0,770.0,313.0,7.0,5.0,4.0,6.0,6.0,7.0,2.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,14.0,26.0,0.0,0.0,0.0,1.0,3.0
12,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,Almagro N.,Benneteau J.,73.0,696.0,694.0,38.0,6.0,3.0,6.0,7.0,6.0,3.0,7.0,6.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,55.0,36.0,0.0,0.0,0.0,38.0,36.0
13,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,Mathieu P.H.,Garcia-Lopez G.,97.0,27.0,609.0,1430.0,4.0,6.0,4.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,34.0,32.0,0.0,0.0,0.0,33.0,40.0
14,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,Pospisil V.,Simon G.,39.0,15.0,1075.0,2145.0,7.0,6.0,3.0,6.0,2.0,6.0,4.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,10.0,14.0,0.0,0.0,0.0,66.0,37.0
15,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,Coric B.,Ramos-Vinolas A.,40.0,61.0,1066.0,773.0,2.0,6.0,2.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,5.0
16,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,Vesely J.,Olivo R.,50.0,174.0,840.0,296.0,6.0,7.0,6.0,2.0,6.0,1.0,4.0,6.0,4.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0
