,Tournament,Date,Series,Court,Surface,Round,P,S,PRank,SRank,PPts,SPts,P1,S1,P2,S2,P3,S3,P4,S4,P5,S5,Psets,Ssets,Gana_P,Punto_Average_P,Dif_P,Puntos_Marcados_P,Victorias_P,Derrotas_P,Punto_Average_S,Dif_S,Puntos_Marcados_S,Victorias_S,Derrotas_S
0,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Barrere G.,Albot R.,197.0,97.0,303.0,634.0,6.0,4.0,6.0,0.0,5.0,7.0,1.0,6.0,2.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,10.0
1,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Dzumhur D.,Kudla D.,29.0,113.0,1415.0,471.0,6.0,4.0,6.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,12.0,15.0,0.0,0.0,0.0,8.0,15.0
2,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Dimitrov G.,Safwat M.,5.0,182.0,4870.0,320.0,6.0,1.0,6.0,4.0,7.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,48.0,30.0,0.0,0.0,0.0,0.0,0.0
3,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Donaldson J.,Jarry N.,57.0,61.0,910.0,888.0,6.0,3.0,4.0,6.0,3.0,6.0,6.0,3.0,6.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,3.0
4,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Monfils G.,Benchetrit E.,37.0,306.0,1220.0,166.0,3.0,6.0,6.0,1.0,6.0,2.0,6.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,90.0,40.0,0.0,0.0,0.0,0.0,0.0
5,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Klizan M.,Djere L.,117.0,101.0,463.0,596.0,7.0,6.0,4.0,6.0,7.0,6.0,6.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,15.0,23.0,0.0,0.0,0.0,0.0,2.0
6,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Carreno Busta P.,Kovalik J.,11.0,146.0,2415.0,383.0,4.0,6.0,6.0,1.0,7.0,5.0,7.0,6.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,17.0,7.0,0.0,0.0,0.0,0.0,3.0
7,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Nishikori K.,Janvier M.,21.0,307.0,1710.0,165.0,7.0,6.0,6.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,70.0,32.0,0.0,0.0,0.0,0.0,0.0
8,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Moutet C.,Karlovic I.,141.0,92.0,398.0,665.0,7.0,6.0,6.0,2.0,7.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,44.0
9,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Nishioka Y.,Verdasco F.,266.0,35.0,207.0,1280.0,7.0,6.0,4.0,6.0,3.0,6.0,7.0,6.0,5.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,89.0,49.0
10,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Otte O.,Berrettini M.,156.0,96.0,351.0,639.0,6.0,3.0,5.0,7.0,2.0,6.0,1.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Medvedev D.,Pouille L.,53.0,16.0,974.0,2030.0,2.0,6.0,3.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,16.0,16.0
12,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Fritz T.,Andreozzi G.,68.0,108.0,849.0,506.0,7.0,6.0,3.0,6.0,6.0,3.0,2.0,6.0,3.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0
13,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Berankis R.,Zverev A.,102.0,3.0,594.0,5615.0,1.0,6.0,1.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,14.0,11.0
14,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Goffin D.,Haase R.,9.0,44.0,3020.0,1155.0,4.0,6.0,4.0,6.0,6.0,4.0,6.0,1.0,6.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,35.0,22.0,0.0,0.0,0.0,16.0,36.0
15,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Bellucci T.,Delbonis F.,278.0,69.0,201.0,835.0,1.0,6.0,3.0,6.0,6.0,3.0,1.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,23.0,35.0,0.0,0.0,0.0,5.0,16.0
16,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,Copil M.,Cecchinato M.,94.0,72.0,662.0,806.0,6.0,2.0,7.0,6.0,5.0,7.0,2.0,6.0,8.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,4.0
17,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,Wawrinka S.,Garcia-Lopez G.,30.0,67.0,1400.0,850.0,2.0,6.0,6.0,3.0,6.0,4.0,6.0,7.0,3.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,129.0,45.0,0.0,0.0,0.0,39.0,47.0
18,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,Paire B.,Carballes Baena R.,51.0,76.0,1020.0,753.0,6.0,3.0,6.0,7.0,7.0,6.0,6.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,1.0
19,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,Tsitsipas S.,Taberner C.,39.0,213.0,1212.0,278.0,7.0,5.0,6.0,7.0,6.0,4.0,6.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
20,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,Gulbis E.,Muller G.,160.0,34.0,342.0,1300.0,2.0,6.0,6.0,4.0,6.0,4.0,6.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,34.0,39.0,0.0,0.0,0.0,32.0,34.0
21,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,Khachanov K.,Haider-Maurer A.,38.0,412.0,1220.0,96.0,7.0,6.0,6.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,7.0,18.0
22,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,Trungelliti M.,Tomic B.,190.0,206.0,313.0,291.0,6.0,4.0,5.0,7.0,6.0,4.0,6.0,4.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,39.0,32.0
23,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,Gojowczyk P.,Norrie C.,43.0,85.0,1175.0,682.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,1.0,2.0
24,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,Lajovic D.,Vesely J.,60.0,80.0,894.0,720.0,6.0,3.0,6.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,16.0,0.0,0.0,0.0,15.0,19.0
25,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,Bautista Agut R.,Istomin D.,13.0,100.0,2120.0,602.0,6.0,2.0,6.0,7.0,1.0,6.0,6.0,4.0,6.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,18.0,8.0,0.0,0.0,0.0,35.0,39.0
26,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,Munar J.,Ferrer D.,155.0,41.0,356.0,1190.0,3.0,6.0,3.0,6.0,7.0,6.0,7.0,6.0,7.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,135.0,48.0
27,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,Djokovic N.,Dutra Silva R.,22.0,134.0,1665.0,421.0,6.0,3.0,6.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,237.0,36.0,0.0,0.0,0.0,4.0,13.0
28,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,Kohlschreiber P.,Coric B.,24.0,40.0,1620.0,1200.0,3.0,6.0,6.0,3.0,3.0,6.0,4.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,62.0,48.0,0.0,0.0,0.0,9.0,14.0
29,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,Ivashka I.,Thiem D.,119.0,8.0,462.0,3355.0,2.0,6.0,4.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,17.0
30,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,Baghdatis M.,Giraldo S.,84.0,315.0,689.0,159.0,6.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,45.0,0.0,0.0,0.0,14.0,33.0
31,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,Basic M.,Pavlasek A.,81.0,185.0,717.0,317.0,7.0,6.0,5.0,7.0,2.0,6.0,2.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0
32,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,Ruud C.,Thompson J.,157.0,91.0,350.0,669.0,6.0,1.0,6.0,4.0,2.0,6.0,4.0,6.0,6.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,11.0
33,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,Simon G.,Basilashvili N.,65.0,77.0,870.0,747.0,6.0,4.0,6.0,0.0,6.0,7.0,6.0,4.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,77.0,46.0,0.0,0.0,0.0,7.0,10.0
34,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,Kukushkin M.,Ramos-Vinolas A.,83.0,36.0,694.0,1260.0,6.0,7.0,4.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,28.0,0.0,0.0,0.0,17.0,14.0
35,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,Youzhny M.,Jaziri M.,98.0,63.0,616.0,872.0,6.0,2.0,2.0,6.0,2.0,6.0,6.0,3.0,2.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,73.0,47.0,0.0,0.0,0.0,10.0,18.0
36,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,Tiafoe F.,Querrey S.,58.0,15.0,903.0,2095.0,1.0,6.0,2.0,6.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,51.0,44.0
37,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,Hemery C.,Schwartzman D.,130.0,12.0,430.0,2165.0,1.0,6.0,3.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.0
38,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,Seppi A.,Gasquet R.,50.0,32.0,1045.0,1395.0,0.0,6.0,2.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,52.0,49.0,0.0,0.0,0.0,93.0,44.0
39,French Open,29/05/18,Grand Slam,Outdoor,Clay,1st Round,Cuevas P.,Bedene A.,75.0,66.0,755.0,850.0,6.0,4.0,6.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,15.0,27.0,0.0,0.0,0.0,7.0,19.0
40,French Open,29/05/18,Grand Slam,Outdoor,Clay,1st Round,Cilic M.,Duckworth J.,4.0,1072.0,4950.0,8.0,6.0,3.0,7.0,5.0,7.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,102.0,40.0,0.0,0.0,0.0,5.0,15.0
41,French Open,29/05/18,Grand Slam,Outdoor,Clay,1st Round,Donskoy E.,Struff J.L.,79.0,71.0,726.0,830.0,1.0,6.0,3.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,15.0,0.0,0.0,0.0,4.0,18.0
42,French Open,29/05/18,Grand Slam,Outdoor,Clay,1st Round,Marterer M.,Harrison R.,70.0,56.0,831.0,920.0,6.0,1.0,6.0,3.0,7.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,12.0,25.0
43,French Open,29/05/18,Grand Slam,Outdoor,Clay,1st Round,Hurkacz H.,Sandgren T.,188.0,54.0,315.0,953.0,6.0,2.0,6.0,2.0,3.0,6.0,6.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0
44,French Open,29/05/18,Grand Slam,Outdoor,Clay,1st Round,Millman J.,Shapovalov D.,59.0,25.0,901.0,1573.0,5.0,7.0,4.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,4.0,3.0
45,French Open,29/05/18,Grand Slam,Outdoor,Clay,1st Round,Anderson K.,Lorenzi P.,7.0,74.0,3635.0,780.0,6.0,1.0,6.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,56.0,35.0,0.0,0.0,0.0,10.0,27.0
46,French Open,29/05/18,Grand Slam,Outdoor,Clay,1st Round,Ebden M.,Fabbiano T.,73.0,115.0,794.0,466.0,4.0,6.0,7.0,5.0,2.0,6.0,6.0,3.0,2.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0,0.0,0.0,2.0,7.0
47,French Open,29/05/18,Grand Slam,Outdoor,Clay,1st Round,Isner J.,Rubin N.,10.0,173.0,2980.0,327.0,6.0,3.0,7.0,6.0,7.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,61.0,39.0,0.0,0.0,0.0,2.0,3.0
48,French Open,29/05/18,Grand Slam,Outdoor,Clay,1st Round,Fucsovics M.,Pospisil V.,45.0,88.0,1122.0,673.0,6.0,3.0,6.0,3.0,7.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,11.0,21.0
49,French Open,29/05/18,Grand Slam,Outdoor,Clay,1st Round,Fognini F.,Andujar P.,18.0,128.0,1940.0,431.0,6.0,4.0,6.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,41.0,40.0,0.0,0.0,0.0,14.0,27.0
50,French Open,29/05/18,Grand Slam,Outdoor,Clay,1st Round,De Minaur A.,Edmund K.,105.0,17.0,541.0,1950.0,2.0,6.0,4.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,16.0,14.0
51,French Open,29/05/18,Grand Slam,Outdoor,Clay,1st Round,Zeballos H.,Sugita Y.,103.0,48.0,590.0,1070.0,6.0,4.0,6.0,7.0,6.0,4.0,6.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,8.0,21.0,0.0,0.0,0.0,3.0,7.0
