,Tournament,Date,Series,Court,Surface,Round,P,S,PRank,SRank,PPts,SPts,P1,S1,P2,S2,P3,S3,P4,S4,P5,S5,Psets,Ssets,Gana_P,Punto_Average_P,Dif_P,Puntos_Marcados_P,Victorias_P,Derrotas_P,Punto_Average_S,Dif_S,Puntos_Marcados_S,Victorias_S,Derrotas_S
0,French Open,28/05/06,Grand Slam,Outdoor,Clay,1st Round,Hartfield D.,Federer R.,157.0,1.0,265.0,7010.0,5.0,7.0,6.0,7.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
1,French Open,28/05/06,Grand Slam,Outdoor,Clay,1st Round,Carlsen K.,Henman T.,112.0,71.0,392.0,570.0,3.0,6.0,4.0,6.0,6.0,4.0,4.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,French Open,28/05/06,Grand Slam,Outdoor,Clay,1st Round,Moya C.,Marin J.A.,33.0,120.0,905.0,365.0,7.0,5.0,6.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,French Open,28/05/06,Grand Slam,Outdoor,Clay,1st Round,Wawrinka S.,Nalbandian D.,57.0,3.0,683.0,3065.0,2.0,6.0,6.0,7.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0
4,French Open,28/05/06,Grand Slam,Outdoor,Clay,1st Round,Zib T.,Robredo T.,109.0,7.0,399.0,2020.0,4.0,6.0,2.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0
5,French Open,29/05/06,Grand Slam,Outdoor,Clay,1st Round,Santoro F.,Acasuso J.,51.0,29.0,777.0,1090.0,3.0,6.0,1.0,6.0,6.0,3.0,6.0,1.0,9.0,11.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
6,French Open,29/05/06,Grand Slam,Outdoor,Clay,1st Round,Arthurs W.,Almagro N.,209.0,41.0,197.0,834.0,5.0,7.0,2.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,French Open,29/05/06,Grand Slam,Outdoor,Clay,1st Round,Healey N.,Ancic M.,195.0,12.0,205.0,1710.0,3.0,6.0,6.0,4.0,6.0,7.0,1.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0
8,French Open,29/05/06,Grand Slam,Outdoor,Clay,1st Round,Berdych T.,Lopez F.,20.0,48.0,1390.0,790.0,6.0,2.0,6.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0
9,French Open,29/05/06,Grand Slam,Outdoor,Clay,1st Round,Srichaphan P.,Blake J.,39.0,8.0,845.0,1925.0,0.0,6.0,4.0,6.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0
