Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR
D1,16/08/2019,Bayern Munich,Hertha,2,2,1,2,17,6,7,3,3,3,0,0,D
D1,17/08/2019,Dortmund,Augsburg,5,1,1,1,23,5,10,1,0,0,0,0,H
D1,17/08/2019,Freiburg,Mainz,3,0,0,0,19,19,8,5,1,3,0,0,H
D1,17/08/2019,Leverkusen,Paderborn,3,2,2,2,13,11,4,6,2,0,0,0,H
D1,17/08/2019,Werder Bremen,Fortuna Dusseldorf,1,3,0,1,23,12,10,7,0,2,0,0,A
D1,17/08/2019,Wolfsburg,FC Koln,2,1,1,0,14,11,5,2,1,3,0,0,H
D1,17/08/2019,M'gladbach,Schalke 04,0,0,0,0,16,8,4,1,3,2,0,0,D
D1,18/08/2019,Ein Frankfurt,Hoffenheim,1,0,1,0,17,10,8,1,3,1,0,0,H
D1,18/08/2019,Union Berlin,RB Leipzig,0,4,0,3,13,14,2,8,1,0,0,0,A
D1,23/08/2019,FC Koln,Dortmund,1,3,1,0,13,14,1,6,2,1,0,0,A
D1,24/08/2019,Augsburg,Union Berlin,1,1,0,0,12,13,4,1,3,1,0,1,D
D1,24/08/2019,Fortuna Dusseldorf,Leverkusen,1,3,0,3,11,11,6,7,3,2,0,0,A
D1,24/08/2019,Hoffenheim,Werder Bremen,3,2,0,1,10,18,3,6,2,5,0,1,H
D1,24/08/2019,Mainz,M'gladbach,1,3,1,1,21,15,4,6,2,2,0,0,A
D1,24/08/2019,Paderborn,Freiburg,1,3,1,2,15,9,2,4,3,1,0,0,A
D1,24/08/2019,Schalke 04,Bayern Munich,0,3,0,1,9,10,2,6,0,0,0,0,A
D1,25/08/2019,RB Leipzig,Ein Frankfurt,2,1,1,0,13,11,5,5,2,3,0,0,H
D1,25/08/2019,Hertha,Wolfsburg,0,3,0,1,8,9,2,4,1,0,0,0,A
D1,30/08/2019,M'gladbach,RB Leipzig,1,3,0,1,11,14,3,6,3,2,0,0,A
D1,31/08/2019,Bayern Munich,Mainz,6,1,2,1,19,7,10,4,3,3,0,0,H
D1,31/08/2019,Freiburg,FC Koln,1,2,1,0,14,9,1,3,0,2,0,0,A
D1,31/08/2019,Leverkusen,Hoffenheim,0,0,0,0,20,6,2,1,2,2,0,0,D
D1,31/08/2019,Schalke 04,Hertha,3,0,1,0,9,9,2,3,1,1,0,0,H
D1,31/08/2019,Wolfsburg,Paderborn,1,1,0,1,15,7,5,3,0,3,0,0,D
D1,31/08/2019,Union Berlin,Dortmund,3,1,1,1,15,13,7,2,0,0,0,0,H
D1,01/09/2019,Werder Bremen,Augsburg,3,2,2,1,15,12,5,6,1,4,0,1,H
D1,01/09/2019,Ein Frankfurt,Fortuna Dusseldorf,2,1,0,1,15,14,8,4,2,4,0,0,H
D1,13/09/2019,Fortuna Dusseldorf,Wolfsburg,1,1,1,1,12,15,3,6,0,2,0,0,D
D1,14/09/2019,Augsburg,Ein Frankfurt,2,1,2,0,9,23,6,3,2,1,0,0,H
D1,14/09/2019,Dortmund,Leverkusen,4,0,1,0,11,22,9,12,0,3,0,0,H
D1,14/09/2019,FC Koln,M'gladbach,0,1,0,1,14,15,7,4,2,2,0,0,A
D1,14/09/2019,Mainz,Hertha,2,1,1,0,14,16,5,8,2,2,0,0,H
D1,14/09/2019,Union Berlin,Werder Bremen,1,2,1,1,12,16,5,7,3,4,1,1,A
D1,14/09/2019,RB Leipzig,Bayern Munich,1,1,1,1,12,14,6,7,4,2,0,0,D
D1,15/09/2019,Hoffenheim,Freiburg,0,3,0,2,22,16,5,8,0,2,0,0,A
D1,15/09/2019,Paderborn,Schalke 04,1,5,1,1,9,18,1,11,2,1,0,0,A
D1,20/09/2019,Schalke 04,Mainz,2,1,1,0,19,14,6,3,1,1,0,0,H
D1,21/09/2019,Bayern Munich,FC Koln,4,0,1,0,24,16,5,2,4,0,0,1,H
D1,21/09/2019,Freiburg,Augsburg,1,1,1,1,17,12,5,2,1,1,0,0,D
D1,21/09/2019,Hertha,Paderborn,2,1,1,0,6,17,4,8,4,4,0,0,H
D1,21/09/2019,Leverkusen,Union Berlin,2,0,2,0,20,4,7,0,0,1,0,1,H
D1,21/09/2019,Werder Bremen,RB Leipzig,0,3,0,2,11,14,1,7,0,3,0,1,A
D1,22/09/2019,M'gladbach,Fortuna Dusseldorf,2,1,0,1,23,18,11,4,2,3,0,0,H
D1,22/09/2019,Ein Frankfurt,Dortmund,2,2,1,1,17,15,3,7,2,2,0,0,D
D1,23/09/2019,Wolfsburg,Hoffenheim,1,1,1,1,12,11,4,5,2,4,0,0,D
D1,27/09/2019,Union Berlin,Ein Frankfurt,1,2,0,0,12,14,5,6,1,1,0,0,A
D1,28/09/2019,Augsburg,Leverkusen,0,3,0,1,8,11,1,5,4,0,0,0,A
D1,28/09/2019,Hoffenheim,M'gladbach,0,3,0,1,17,11,4,5,2,2,0,0,A
D1,28/09/2019,Mainz,Wolfsburg,0,1,0,1,15,4,5,3,2,3,0,0,A
D1,28/09/2019,Paderborn,Bayern Munich,2,3,0,1,10,18,5,6,1,1,0,0,A
D1,28/09/2019,RB Leipzig,Schalke 04,1,3,0,2,17,13,6,8,1,1,0,0,A
D1,28/09/2019,Dortmund,Werder Bremen,2,2,2,1,19,11,7,5,1,0,0,0,D
D1,29/09/2019,Fortuna Dusseldorf,Freiburg,1,2,1,1,17,9,7,3,2,2,0,0,A
D1,29/09/2019,FC Koln,Hertha,0,4,0,1,8,10,3,6,1,0,1,0,A
D1,04/10/2019,Hertha,Fortuna Dusseldorf,3,1,2,1,16,9,3,3,3,3,0,0,H
D1,05/10/2019,Bayern Munich,Hoffenheim,1,2,0,0,20,8,4,5,2,0,0,0,A
D1,05/10/2019,Freiburg,Dortmund,2,2,0,1,6,8,1,4,0,3,0,0,D
D1,05/10/2019,Leverkusen,RB Leipzig,1,1,0,0,11,11,8,5,2,2,0,0,D
D1,05/10/2019,Paderborn,Mainz,1,2,1,2,16,18,7,7,1,4,0,0,A
D1,05/10/2019,Schalke 04,FC Koln,1,1,0,0,15,9,3,5,4,4,0,0,D
D1,06/10/2019,M'gladbach,Augsburg,5,1,4,0,13,13,9,3,1,2,0,0,H
D1,06/10/2019,Wolfsburg,Union Berlin,1,0,0,0,13,14,4,3,2,2,0,0,H
D1,06/10/2019,Ein Frankfurt,Werder Bremen,2,2,0,1,24,11,7,5,2,1,0,0,D
D1,18/10/2019,Ein Frankfurt,Leverkusen,3,0,2,0,10,19,5,10,1,1,0,0,H
D1,19/10/2019,Augsburg,Bayern Munich,2,2,1,1,9,24,7,9,3,3,0,0,D
D1,19/10/2019,Fortuna Dusseldorf,Mainz,1,0,0,0,20,7,4,1,2,4,0,1,H
D1,19/10/2019,RB Leipzig,Wolfsburg,1,1,0,0,13,14,5,6,1,3,0,0,D
D1,19/10/2019,Union Berlin,Freiburg,2,0,1,0,18,12,5,4,3,0,0,0,H
D1,19/10/2019,Werder Bremen,Hertha,1,1,1,0,15,11,5,2,1,1,0,0,D
D1,19/10/2019,Dortmund,M'gladbach,1,0,0,0,20,13,7,3,1,2,0,0,H
D1,20/10/2019,FC Koln,Paderborn,3,0,1,0,16,9,6,1,0,0,0,0,H
D1,20/10/2019,Hoffenheim,Schalke 04,2,0,0,0,9,11,3,1,2,2,0,0,H
D1,25/10/2019,Mainz,FC Koln,3,1,1,1,18,16,6,8,2,2,0,0,H
D1,26/10/2019,Bayern Munich,Union Berlin,2,1,1,0,21,6,10,4,0,1,0,0,H
D1,26/10/2019,Freiburg,RB Leipzig,2,1,1,0,14,25,3,6,3,1,0,0,H
D1,26/10/2019,Hertha,Hoffenheim,2,3,0,2,13,17,4,8,3,3,1,0,A
D1,26/10/2019,Paderborn,Fortuna Dusseldorf,2,0,1,0,14,18,6,4,5,4,0,0,H
D1,26/10/2019,Schalke 04,Dortmund,0,0,0,0,13,8,3,3,3,2,0,0,D
D1,26/10/2019,Leverkusen,Werder Bremen,2,2,1,1,21,10,4,3,2,1,0,0,D
D1,27/10/2019,Wolfsburg,Augsburg,0,0,0,0,14,10,3,5,0,0,0,0,D
D1,27/10/2019,M'gladbach,Ein Frankfurt,4,2,2,0,12,15,7,3,1,1,0,0,H
D1,01/11/2019,Hoffenheim,Paderborn,3,0,3,0,12,9,7,2,0,1,0,0,H
D1,02/11/2019,Dortmund,Wolfsburg,3,0,0,0,17,12,8,3,1,3,0,0,H
D1,02/11/2019,Ein Frankfurt,Bayern Munich,5,1,2,1,17,7,11,3,1,2,0,1,H
D1,02/11/2019,Leverkusen,M'gladbach,1,2,1,2,23,11,6,6,2,1,1,0,A
D1,02/11/2019,RB Leipzig,Mainz,8,0,5,0,19,10,12,2,0,1,0,0,H
D1,02/11/2019,Werder Bremen,Freiburg,2,2,1,1,20,13,10,3,3,4,0,1,D
D1,02/11/2019,Union Berlin,Hertha,1,0,0,0,16,8,6,3,1,1,0,0,H
D1,03/11/2019,Fortuna Dusseldorf,FC Koln,2,0,1,0,9,8,3,1,1,3,0,0,H
D1,03/11/2019,Augsburg,Schalke 04,2,3,1,1,12,11,4,3,3,5,0,0,A
D1,08/11/2019,FC Koln,Hoffenheim,1,2,1,0,11,15,3,5,4,3,0,0,A
D1,09/11/2019,Hertha,RB Leipzig,2,4,1,2,7,10,3,7,2,1,0,0,A
D1,09/11/2019,Mainz,Union Berlin,2,3,0,2,18,14,5,4,1,4,0,0,A
D1,09/11/2019,Paderborn,Augsburg,0,1,0,1,12,13,4,5,1,3,0,0,A
D1,09/11/2019,Schalke 04,Fortuna Dusseldorf,3,3,1,0,12,9,5,5,2,4,0,0,D
D1,09/11/2019,Bayern Munich,Dortmund,4,0,1,0,17,2,5,0,2,1,0,0,H
D1,10/11/2019,M'gladbach,Werder Bremen,3,1,2,0,17,16,7,7,5,4,1,0,H
D1,10/11/2019,Wolfsburg,Leverkusen,0,2,0,1,9,9,1,4,2,2,0,0,A
D1,10/11/2019,Freiburg,Ein Frankfurt,1,0,0,0,13,17,7,6,1,3,1,2,H
D1,22/11/2019,Dortmund,Paderborn,3,3,0,3,18,10,7,4,3,1,0,0,D
D1,23/11/2019,Ein Frankfurt,Wolfsburg,0,2,0,1,17,9,9,6,3,5,0,1,A
D1,23/11/2019,Fortuna Dusseldorf,Bayern Munich,0,4,0,3,12,18,1,5,1,1,0,0,A
D1,23/11/2019,Leverkusen,Freiburg,1,1,1,1,27,7,9,2,0,3,0,0,D
D1,23/11/2019,Union Berlin,M'gladbach,2,0,1,0,11,12,6,2,1,1,0,0,H
D1,23/11/2019,Werder Bremen,Schalke 04,1,2,0,1,16,10,5,5,3,2,0,0,A
D1,23/11/2019,RB Leipzig,FC Koln,4,1,3,1,20,6,8,1,0,3,0,0,H
D1,24/11/2019,Augsburg,Hertha,4,0,2,0,14,5,5,1,0,2,0,1,H
D1,24/11/2019,Hoffenheim,Mainz,1,5,0,1,22,11,8,5,1,3,0,1,A
D1,29/11/2019,Schalke 04,Union Berlin,2,1,1,1,17,17,8,7,1,4,0,0,H
D1,30/11/2019,FC Koln,Augsburg,1,1,0,1,13,11,6,4,8,3,1,1,D
D1,30/11/2019,Hertha,Dortmund,1,2,1,2,13,7,3,5,3,2,0,1,A
D1,30/11/2019,Hoffenheim,Fortuna Dusseldorf,1,1,1,0,12,11,6,3,2,4,0,0,D
D1,30/11/2019,Paderborn,RB Leipzig,2,3,0,3,8,18,4,6,3,3,0,0,A
D1,30/11/2019,Bayern Munich,Leverkusen,1,2,1,2,24,11,11,7,1,3,0,1,A
D1,01/12/2019,M'gladbach,Freiburg,4,2,1,1,22,13,13,5,3,2,0,0,H
D1,01/12/2019,Wolfsburg,Werder Bremen,2,3,1,2,19,10,6,3,1,4,0,0,A
D1,02/12/2019,Mainz,Ein Frankfurt,2,1,0,1,18,14,8,4,1,2,0,1,H
D1,06/12/2019,Ein Frankfurt,Hertha,2,2,0,1,25,9,6,3,3,4,0,0,D
D1,07/12/2019,Augsburg,Mainz,2,1,1,1,18,12,5,3,2,2,0,0,H
D1,07/12/2019,Dortmund,Fortuna Dusseldorf,5,0,1,0,23,2,10,0,0,3,0,0,H
D1,07/12/2019,Freiburg,Wolfsburg,1,0,0,0,10,10,3,0,0,2,0,0,H
D1,07/12/2019,M'gladbach,Bayern Munich,2,1,0,0,7,17,3,5,3,5,0,1,H
D1,07/12/2019,RB Leipzig,Hoffenheim,3,1,1,0,25,11,14,1,3,1,0,0,H
D1,07/12/2019,Leverkusen,Schalke 04,2,1,1,0,19,5,9,3,2,2,0,0,H
D1,08/12/2019,Union Berlin,FC Koln,2,0,1,0,11,14,5,4,1,3,0,0,H
D1,08/12/2019,Werder Bremen,Paderborn,0,1,0,0,12,18,3,5,1,4,0,0,A
D1,13/12/2019,Hoffenheim,Augsburg,2,4,1,1,19,6,8,4,1,0,0,0,A
D1,14/12/2019,Bayern Munich,Werder Bremen,6,1,2,1,29,11,14,2,2,2,0,0,H
D1,14/12/2019,FC Koln,Leverkusen,2,0,0,0,13,6,5,2,2,3,0,2,H
D1,14/12/2019,Hertha,Freiburg,1,0,0,0,14,15,4,2,2,0,0,0,H
D1,14/12/2019,Mainz,Dortmund,0,4,0,1,9,18,0,7,1,0,0,0,A
D1,14/12/2019,Paderborn,Union Berlin,1,1,1,1,14,15,3,2,2,4,0,0,D
D1,14/12/2019,Fortuna Dusseldorf,RB Leipzig,0,3,0,1,4,21,1,7,2,1,0,0,A
D1,15/12/2019,Wolfsburg,M'gladbach,2,1,1,1,17,6,7,5,3,3,0,0,H
D1,15/12/2019,Schalke 04,Ein Frankfurt,1,0,0,0,11,17,5,3,1,4,1,0,H
D1,17/12/2019,Werder Bremen,Mainz,0,5,0,4,15,19,5,8,2,2,0,0,A
D1,17/12/2019,Augsburg,Fortuna Dusseldorf,3,0,1,0,12,6,7,2,3,4,0,0,H
D1,17/12/2019,Dortmund,RB Leipzig,3,3,2,0,14,12,6,8,0,0,0,0,D
D1,17/12/2019,Union Berlin,Hoffenheim,0,2,0,0,16,7,2,4,2,6,0,0,A
D1,18/12/2019,Leverkusen,Hertha,0,1,0,0,17,10,7,5,2,3,0,0,A
D1,18/12/2019,Ein Frankfurt,FC Koln,2,4,2,1,17,21,6,9,2,4,0,0,A
D1,18/12/2019,Freiburg,Bayern Munich,1,3,0,1,15,22,5,10,0,3,0,0,A
D1,18/12/2019,M'gladbach,Paderborn,2,0,0,0,17,12,6,2,2,3,0,0,H
D1,18/12/2019,Wolfsburg,Schalke 04,1,1,0,0,29,8,11,2,1,1,0,0,D
D1,20/12/2019,Hoffenheim,Dortmund,2,1,0,1,11,12,3,5,0,1,0,0,H
D1,21/12/2019,Bayern Munich,Wolfsburg,2,0,0,0,18,10,8,3,2,2,0,0,H
D1,21/12/2019,FC Koln,Werder Bremen,1,0,1,0,7,6,1,1,1,4,0,0,H
D1,21/12/2019,Mainz,Leverkusen,0,1,0,0,17,14,2,4,0,2,0,1,A
