Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR
I1,13/08/2022,Milan,Udinese,4,2,2,2,14,9,5,4,1,4,0,0,H
I1,13/08/2022,Sampdoria,Atalanta,0,2,0,1,11,9,1,3,4,6,0,0,A
I1,13/08/2022,Lecce,Inter,1,2,0,1,10,19,4,9,4,2,0,0,A
I1,13/08/2022,Monza,Torino,1,2,0,1,15,13,4,6,1,2,0,0,A
I1,14/08/2022,Fiorentina,Cremonese,3,2,2,1,27,13,11,4,0,3,0,1,H
I1,14/08/2022,Lazio,Bologna,2,1,0,1,9,11,6,3,2,6,1,1,H
I1,14/08/2022,Salernitana,Roma,0,1,0,1,13,20,2,5,3,2,0,0,A
I1,14/08/2022,Spezia,Empoli,1,0,1,0,9,18,2,5,2,1,0,0,H
I1,15/08/2022,Verona,Napoli,2,5,1,2,6,25,3,8,2,2,0,0,A
I1,15/08/2022,Juventus,Sassuolo,3,0,2,0,14,19,4,7,1,3,0,0,H
I1,20/08/2022,Torino,Lazio,0,0,0,0,10,7,1,2,0,5,0,0,D
I1,20/08/2022,Udinese,Salernitana,0,0,0,0,15,17,2,6,2,4,1,0,D
I1,20/08/2022,Inter,Spezia,3,0,1,0,19,2,8,0,0,0,0,0,H
I1,20/08/2022,Sassuolo,Lecce,1,0,1,0,12,7,3,1,5,1,0,0,H
I1,21/08/2022,Empoli,Fiorentina,0,0,0,0,4,19,2,2,1,3,1,0,D
I1,21/08/2022,Napoli,Monza,4,0,2,0,22,4,5,1,2,1,0,0,H
I1,21/08/2022,Atalanta,Milan,1,1,1,0,11,18,2,7,4,3,0,0,D
I1,21/08/2022,Bologna,Verona,1,1,1,1,17,19,5,3,3,3,1,0,D
I1,22/08/2022,Roma,Cremonese,1,0,0,0,27,14,12,3,0,3,0,0,H
I1,22/08/2022,Sampdoria,Juventus,0,0,0,0,10,10,1,4,3,2,0,0,D
I1,26/08/2022,Monza,Udinese,1,2,1,1,10,15,5,4,3,2,0,0,A
I1,26/08/2022,Lazio,Inter,3,1,1,0,11,19,7,7,2,1,0,0,H
I1,27/08/2022,Cremonese,Torino,1,2,0,1,16,14,6,5,0,3,0,0,A
I1,27/08/2022,Juventus,Roma,1,1,1,0,14,8,3,4,2,2,0,0,D
I1,27/08/2022,Milan,Bologna,2,0,1,0,19,8,7,0,2,1,0,0,H
I1,27/08/2022,Spezia,Sassuolo,2,2,2,1,7,21,2,8,2,1,1,0,D
I1,28/08/2022,Salernitana,Sampdoria,4,0,2,0,9,17,6,6,2,2,0,0,H
I1,28/08/2022,Verona,Atalanta,0,1,0,0,14,15,2,7,3,3,0,0,A
I1,28/08/2022,Fiorentina,Napoli,0,0,0,0,10,13,5,2,2,3,0,0,D
I1,28/08/2022,Lecce,Empoli,1,1,1,1,15,9,5,3,1,2,0,0,D
I1,30/08/2022,Sassuolo,Milan,0,0,0,0,8,10,3,2,5,2,0,0,D
I1,30/08/2022,Inter,Cremonese,3,1,2,0,18,11,7,4,0,3,0,0,H
I1,30/08/2022,Roma,Monza,3,0,2,0,14,13,7,1,0,3,0,0,H
I1,31/08/2022,Empoli,Verona,1,1,1,0,16,9,4,3,0,4,0,0,D
I1,31/08/2022,Sampdoria,Lazio,1,1,0,1,10,13,3,6,0,2,0,0,D
I1,31/08/2022,Udinese,Fiorentina,1,0,1,0,8,12,3,2,1,2,0,0,H
I1,31/08/2022,Juventus,Spezia,2,0,1,0,15,9,3,0,0,2,0,0,H
I1,31/08/2022,Napoli,Lecce,1,1,1,1,19,9,7,4,1,4,0,0,D
I1,01/09/2022,Atalanta,Torino,3,1,1,0,12,8,5,2,1,3,0,0,H
I1,01/09/2022,Bologna,Salernitana,1,1,0,0,11,20,4,4,2,2,0,0,D
I1,03/09/2022,Fiorentina,Juventus,1,1,1,1,17,4,5,1,1,3,0,0,D
I1,03/09/2022,Milan,Inter,3,2,1,1,21,16,5,5,5,2,0,0,H
I1,03/09/2022,Lazio,Napoli,1,2,1,1,8,19,2,7,4,0,0,0,A
I1,04/09/2022,Cremonese,Sassuolo,0,0,0,0,10,17,0,7,1,1,0,0,D
I1,04/09/2022,Spezia,Bologna,2,2,1,1,15,13,5,6,4,1,0,0,D
I1,04/09/2022,Verona,Sampdoria,2,1,2,1,17,11,9,3,2,2,0,0,H
I1,04/09/2022,Udinese,Roma,4,0,1,0,11,12,5,2,3,2,0,0,H
I1,05/09/2022,Monza,Atalanta,0,2,0,0,11,13,3,6,1,1,0,0,A
I1,05/09/2022,Salernitana,Empoli,2,2,1,1,15,11,4,5,3,2,0,0,D
I1,05/09/2022,Torino,Lecce,1,0,1,0,13,10,4,2,2,1,0,0,H
I1,10/09/2022,Napoli,Spezia,1,0,0,0,28,10,6,1,1,2,0,0,H
I1,10/09/2022,Inter,Torino,1,0,0,0,16,9,3,7,1,2,0,0,H
I1,10/09/2022,Sampdoria,Milan,1,2,0,1,10,15,4,4,5,2,0,1,A
