Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR
F1,12/08/16,Bastia,Paris SG,0,1,0.0,0.0,10.0,9.0,0.0,6.0,3.0,3.0,0.0,0.0,A
F1,12/08/16,Monaco,Guingamp,2,2,0.0,2.0,18.0,9.0,4.0,5.0,3.0,4.0,0.0,0.0,D
F1,13/08/16,Bordeaux,St Etienne,3,2,1.0,0.0,10.0,14.0,6.0,5.0,1.0,2.0,0.0,0.0,H
F1,13/08/16,Caen,Lorient,3,2,2.0,2.0,15.0,8.0,6.0,2.0,1.0,2.0,0.0,1.0,H
F1,13/08/16,Dijon,Nantes,0,1,0.0,0.0,6.0,10.0,2.0,3.0,0.0,2.0,0.0,0.0,A
F1,13/08/16,Metz,Lille,3,2,0.0,1.0,7.0,13.0,3.0,4.0,2.0,2.0,0.0,0.0,H
F1,13/08/16,Montpellier,Angers,1,0,1.0,0.0,14.0,12.0,3.0,2.0,1.0,2.0,0.0,0.0,H
F1,14/08/16,Marseille,Toulouse,0,0,0.0,0.0,10.0,6.0,2.0,2.0,3.0,1.0,0.0,0.0,D
F1,14/08/16,Nancy,Lyon,0,3,0.0,2.0,11.0,9.0,1.0,7.0,4.0,2.0,0.0,0.0,A
F1,14/08/16,Nice,Rennes,1,0,0.0,0.0,7.0,19.0,1.0,4.0,0.0,1.0,0.0,0.0,H
F1,19/08/16,Lyon,Caen,2,0,1.0,0.0,21.0,7.0,7.0,1.0,3.0,4.0,0.0,0.0,H
F1,20/08/16,Angers,Nice,0,1,0.0,1.0,21.0,14.0,6.0,8.0,1.0,2.0,0.0,0.0,A
F1,20/08/16,Lille,Dijon,1,0,0.0,0.0,10.0,7.0,3.0,2.0,1.0,2.0,0.0,0.0,H
F1,20/08/16,Lorient,Bastia,0,3,0.0,2.0,10.0,16.0,3.0,7.0,2.0,4.0,2.0,0.0,A
F1,20/08/16,Nantes,Monaco,0,1,0.0,1.0,8.0,8.0,2.0,3.0,2.0,4.0,0.0,0.0,A
F1,20/08/16,Rennes,Nancy,2,0,1.0,0.0,9.0,8.0,3.0,1.0,4.0,2.0,0.0,0.0,H
F1,20/08/16,Toulouse,Bordeaux,4,1,2.0,0.0,11.0,9.0,5.0,2.0,1.0,3.0,0.0,1.0,H
F1,21/08/16,Guingamp,Marseille,2,1,1.0,0.0,14.0,8.0,4.0,3.0,0.0,1.0,0.0,0.0,H
F1,21/08/16,Paris SG,Metz,3,0,0.0,0.0,29.0,11.0,8.0,6.0,1.0,1.0,0.0,0.0,H
F1,21/08/16,St Etienne,Montpellier,3,1,0.0,1.0,14.0,13.0,5.0,3.0,1.0,1.0,0.0,0.0,H
F1,26/08/16,Marseille,Lorient,2,0,1.0,0.0,13.0,10.0,8.0,5.0,1.0,1.0,0.0,0.0,H
F1,27/08/16,Caen,Bastia,2,0,0.0,0.0,17.0,5.0,4.0,1.0,1.0,5.0,0.0,0.0,H
F1,27/08/16,Dijon,Lyon,4,2,2.0,2.0,8.0,25.0,5.0,9.0,2.0,2.0,0.0,0.0,H
F1,27/08/16,Metz,Angers,2,0,1.0,0.0,7.0,23.0,2.0,7.0,2.0,2.0,0.0,0.0,H
F1,27/08/16,Montpellier,Rennes,1,1,1.0,0.0,11.0,12.0,5.0,2.0,1.0,2.0,0.0,0.0,D
F1,27/08/16,Nancy,Guingamp,0,2,0.0,0.0,19.0,14.0,3.0,6.0,2.0,1.0,0.0,0.0,A
F1,27/08/16,Nice,Lille,1,1,1.0,1.0,13.0,8.0,6.0,3.0,2.0,2.0,0.0,0.0,D
F1,28/08/16,Bordeaux,Nantes,1,0,1.0,0.0,9.0,16.0,7.0,6.0,2.0,1.0,0.0,0.0,H
F1,28/08/16,Monaco,Paris SG,3,1,2.0,0.0,9.0,6.0,2.0,2.0,1.0,2.0,0.0,0.0,H
F1,28/08/16,St Etienne,Toulouse,0,0,0.0,0.0,16.0,9.0,3.0,2.0,2.0,1.0,0.0,0.0,D
F1,09/09/16,Paris SG,St Etienne,1,1,0.0,0.0,15.0,5.0,4.0,2.0,2.0,4.0,0.0,0.0,D
F1,10/09/16,Angers,Dijon,3,1,1.0,1.0,13.0,7.0,7.0,2.0,1.0,2.0,1.0,1.0,H
F1,10/09/16,Bastia,Toulouse,2,1,1.0,0.0,5.0,8.0,4.0,3.0,4.0,4.0,0.0,0.0,H
F1,10/09/16,Guingamp,Montpellier,1,1,1.0,1.0,12.0,5.0,4.0,2.0,1.0,1.0,0.0,0.0,D
F1,10/09/16,Lille,Monaco,1,4,0.0,2.0,6.0,9.0,3.0,6.0,3.0,1.0,0.0,0.0,A
F1,10/09/16,Lorient,Nancy,0,2,0.0,1.0,9.0,7.0,2.0,3.0,0.0,5.0,0.0,0.0,A
F1,10/09/16,Lyon,Bordeaux,1,3,1.0,1.0,11.0,10.0,4.0,6.0,2.0,1.0,1.0,0.0,A
F1,11/09/16,Nantes,Metz,0,3,0.0,2.0,13.0,10.0,3.0,4.0,1.0,4.0,0.0,0.0,A
F1,11/09/16,Nice,Marseille,3,2,1.0,1.0,18.0,14.0,7.0,5.0,2.0,3.0,0.0,0.0,H
F1,11/09/16,Rennes,Caen,2,0,0.0,0.0,5.0,8.0,4.0,4.0,2.0,1.0,0.0,0.0,H
F1,16/09/16,Caen,Paris SG,0,6,0.0,4.0,13.0,21.0,1.0,7.0,1.0,1.0,0.0,0.0,A
F1,17/09/16,Bordeaux,Angers,0,1,0.0,1.0,10.0,5.0,4.0,5.0,0.0,4.0,1.0,0.0,A
F1,17/09/16,Dijon,Metz,0,0,0.0,0.0,16.0,7.0,6.0,3.0,4.0,3.0,0.0,1.0,D
F1,17/09/16,Lorient,Lille,1,0,0.0,0.0,9.0,10.0,4.0,0.0,2.0,2.0,0.0,0.0,H
F1,17/09/16,Monaco,Rennes,3,0,1.0,0.0,17.0,5.0,7.0,3.0,1.0,1.0,0.0,0.0,H
F1,17/09/16,Nancy,Nantes,1,1,0.0,0.0,9.0,14.0,2.0,5.0,0.0,0.0,0.0,0.0,D
