Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR
F1,12/09/15,Nice,Guingamp,0.0,1.0,0.0,0.0,16.0,8.0,1.0,3.0,1.0,3.0,0.0,0.0,A
F1,12/09/15,Toulouse,Reims,2.0,2.0,2.0,0.0,15.0,9.0,6.0,4.0,2.0,2.0,0.0,0.0,D
F1,12/09/15,Troyes,Caen,1.0,3.0,0.0,2.0,14.0,15.0,6.0,8.0,4.0,0.0,0.0,1.0,A
F1,13/09/15,Ajaccio GFCO,Monaco,0.0,1.0,0.0,1.0,24.0,13.0,4.0,8.0,3.0,3.0,0.0,0.0,A
F1,13/09/15,Marseille,Bastia,4.0,1.0,1.0,0.0,12.0,6.0,7.0,2.0,2.0,1.0,0.0,0.0,H
F1,13/09/15,Nantes,Rennes,0.0,2.0,0.0,0.0,10.0,16.0,3.0,6.0,2.0,3.0,2.0,0.0,A
F1,18/09/15,Rennes,Lille,1.0,1.0,0.0,0.0,9.0,15.0,3.0,5.0,3.0,4.0,0.0,1.0,D
F1,19/09/15,Angers,Troyes,1.0,0.0,0.0,0.0,16.0,14.0,4.0,0.0,2.0,3.0,1.0,0.0,H
F1,19/09/15,Bastia,Nice,1.0,3.0,1.0,2.0,8.0,9.0,2.0,6.0,1.0,2.0,0.0,0.0,A
F1,19/09/15,Caen,Montpellier,2.0,1.0,1.0,1.0,16.0,3.0,6.0,2.0,2.0,4.0,0.0,0.0,H
F1,19/09/15,Guingamp,Ajaccio GFCO,2.0,1.0,1.0,1.0,14.0,7.0,4.0,3.0,2.0,4.0,0.0,1.0,H
F1,19/09/15,Reims,Paris SG,1.0,1.0,0.0,0.0,7.0,17.0,3.0,6.0,2.0,2.0,0.0,0.0,D
F1,20/09/15,Bordeaux,Toulouse,1.0,1.0,0.0,1.0,17.0,9.0,5.0,5.0,2.0,2.0,0.0,1.0,D
F1,20/09/15,Marseille,Lyon,1.0,1.0,0.0,1.0,14.0,12.0,4.0,5.0,4.0,1.0,1.0,0.0,D
F1,20/09/15,Monaco,Lorient,2.0,3.0,1.0,2.0,13.0,16.0,6.0,7.0,4.0,4.0,0.0,0.0,A
F1,20/09/15,St Etienne,Nantes,2.0,0.0,1.0,0.0,12.0,11.0,3.0,2.0,2.0,1.0,0.0,0.0,H
F1,22/09/15,Angers,Reims,0.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,1.0,3.0,0.0,0.0,D
F1,22/09/15,Paris SG,Guingamp,3.0,0.0,1.0,0.0,18.0,10.0,10.0,4.0,1.0,1.0,0.0,0.0,H
F1,23/09/15,Ajaccio GFCO,Rennes,1.0,1.0,1.0,0.0,13.0,16.0,2.0,8.0,0.0,1.0,0.0,0.0,D
F1,23/09/15,Lorient,Caen,2.0,0.0,2.0,0.0,8.0,14.0,4.0,2.0,2.0,2.0,0.0,0.0,H
F1,23/09/15,Lyon,Bastia,2.0,0.0,1.0,0.0,14.0,4.0,7.0,2.0,2.0,1.0,0.0,1.0,H
F1,23/09/15,Nice,Bordeaux,6.0,1.0,2.0,1.0,17.0,6.0,10.0,3.0,0.0,1.0,0.0,1.0,H
F1,23/09/15,Toulouse,Marseille,1.0,1.0,0.0,0.0,11.0,8.0,3.0,1.0,2.0,0.0,2.0,1.0,D
F1,23/09/15,Troyes,St Etienne,0.0,1.0,0.0,1.0,14.0,13.0,4.0,6.0,3.0,0.0,0.0,0.0,A
F1,24/09/15,Montpellier,Monaco,2.0,3.0,2.0,0.0,16.0,13.0,5.0,5.0,2.0,1.0,0.0,0.0,A
F1,25/09/15,Reims,Lille,1.0,0.0,0.0,0.0,10.0,10.0,5.0,3.0,3.0,3.0,0.0,0.0,H
F1,26/09/15,Bastia,Toulouse,3.0,0.0,3.0,0.0,9.0,16.0,6.0,5.0,3.0,3.0,0.0,0.0,H
F1,26/09/15,Bordeaux,Lyon,3.0,1.0,3.0,0.0,10.0,10.0,4.0,4.0,2.0,0.0,0.0,0.0,H
F1,26/09/15,Caen,Ajaccio GFCO,2.0,0.0,1.0,0.0,16.0,8.0,9.0,2.0,1.0,4.0,0.0,0.0,H
F1,26/09/15,Nantes,Paris SG,1.0,4.0,1.0,0.0,7.0,14.0,2.0,7.0,2.0,1.0,0.0,0.0,A
F1,26/09/15,Rennes,Troyes,1.0,1.0,0.0,1.0,19.0,12.0,5.0,6.0,1.0,3.0,1.0,0.0,D
F1,27/09/15,Guingamp,Monaco,3.0,3.0,1.0,2.0,16.0,9.0,7.0,4.0,5.0,3.0,0.0,0.0,D
F1,27/09/15,Marseille,Angers,1.0,2.0,0.0,1.0,18.0,6.0,4.0,3.0,3.0,3.0,0.0,0.0,A
F1,27/09/15,Montpellier,Lorient,2.0,1.0,1.0,0.0,11.0,10.0,4.0,3.0,2.0,5.0,0.0,1.0,H
F1,27/09/15,St Etienne,Nice,1.0,4.0,1.0,3.0,13.0,8.0,5.0,6.0,4.0,1.0,0.0,2.0,A
F1,29/09/15,Lille,Nantes,0.0,1.0,0.0,1.0,20.0,9.0,4.0,2.0,0.0,3.0,0.0,0.0,A
F1,02/10/15,Lille,Montpellier,2.0,0.0,1.0,0.0,22.0,9.0,5.0,3.0,3.0,1.0,0.0,0.0,H
F1,03/10/15,Ajaccio GFCO,Toulouse,2.0,2.0,2.0,1.0,7.0,12.0,3.0,5.0,3.0,0.0,0.0,0.0,D
F1,03/10/15,Angers,Bastia,1.0,0.0,1.0,0.0,17.0,8.0,6.0,2.0,1.0,2.0,0.0,0.0,H
F1,03/10/15,Lyon,Reims,1.0,0.0,1.0,0.0,17.0,8.0,6.0,3.0,2.0,2.0,0.0,0.0,H
F1,03/10/15,Troyes,Guingamp,0.0,1.0,0.0,0.0,12.0,18.0,2.0,7.0,1.0,2.0,1.0,0.0,A
F1,04/10/15,Caen,St Etienne,1.0,0.0,0.0,0.0,14.0,10.0,7.0,3.0,0.0,3.0,0.0,0.0,H
F1,04/10/15,Lorient,Bordeaux,3.0,2.0,0.0,1.0,7.0,9.0,4.0,5.0,0.0,2.0,1.0,1.0,H
F1,04/10/15,Monaco,Rennes,1.0,1.0,0.0,1.0,14.0,8.0,6.0,3.0,3.0,2.0,0.0,0.0,D
F1,04/10/15,Paris SG,Marseille,2.0,1.0,2.0,1.0,16.0,13.0,8.0,8.0,2.0,3.0,0.0,0.0,H
F1,16/10/15,Monaco,Lyon,1.0,1.0,1.0,0.0,12.0,18.0,4.0,6.0,2.0,2.0,1.0,0.0,D
F1,17/10/15,Bastia,Paris SG,0.0,2.0,0.0,0.0,6.0,13.0,2.0,5.0,3.0,1.0,0.0,0.0,A
F1,17/10/15,Guingamp,Lille,1.0,1.0,1.0,1.0,10.0,10.0,2.0,2.0,1.0,3.0,0.0,1.0,D
F1,17/10/15,Nantes,Troyes,3.0,0.0,1.0,0.0,17.0,14.0,4.0,2.0,0.0,1.0,0.0,0.0,H
F1,17/10/15,Reims,Caen,0.0,1.0,0.0,0.0,12.0,11.0,2.0,4.0,2.0,3.0,0.0,0.0,A
F1,17/10/15,St Etienne,Ajaccio GFCO,2.0,0.0,1.0,0.0,13.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,H
F1,17/10/15,Toulouse,Angers,1.0,2.0,1.0,2.0,21.0,7.0,6.0,5.0,1.0,1.0,0.0,0.0,A
F1,18/10/15,Bordeaux,Montpellier,0.0,0.0,0.0,0.0,16.0,6.0,3.0,0.0,4.0,2.0,0.0,0.0,D
F1,18/10/15,Marseille,Lorient,1.0,1.0,1.0,1.0,21.0,6.0,8.0,2.0,1.0,3.0,0.0,0.0,D
F1,18/10/15,Rennes,Nice,1.0,4.0,0.0,1.0,15.0,12.0,3.0,7.0,2.0,2.0,0.0,0.0,A
F1,23/10/15,Caen,Nantes,0.0,2.0,0.0,1.0,16.0,10.0,4.0,3.0,1.0,2.0,0.0,0.0,A
F1,23/10/15,Lyon,Toulouse,3.0,0.0,1.0,0.0,20.0,7.0,8.0,3.0,1.0,4.0,0.0,0.0,H
F1,24/10/15,Ajaccio GFCO,Nice,3.0,1.0,3.0,1.0,13.0,9.0,6.0,2.0,3.0,3.0,1.0,0.0,H
F1,24/10/15,Angers,Guingamp,0.0,0.0,0.0,0.0,10.0,11.0,2.0,2.0,2.0,2.0,1.0,0.0,D
F1,24/10/15,Lorient,Rennes,1.0,1.0,1.0,0.0,10.0,11.0,5.0,3.0,0.0,0.0,1.0,1.0,D
F1,24/10/15,Montpellier,Bastia,2.0,0.0,0.0,0.0,10.0,13.0,3.0,1.0,1.0,3.0,0.0,0.0,H
F1,25/10/15,Bordeaux,Troyes,1.0,0.0,0.0,0.0,16.0,11.0,4.0,2.0,1.0,4.0,0.0,0.0,H
F1,25/10/15,Lille,Marseille,1.0,2.0,0.0,1.0,10.0,12.0,4.0,6.0,3.0,4.0,0.0,0.0,A
F1,25/10/15,Paris SG,St Etienne,4.0,1.0,1.0,0.0,21.0,14.0,10.0,6.0,0.0,0.0,0.0,0.0,H
F1,25/10/15,Reims,Monaco,0.0,1.0,0.0,1.0,13.0,16.0,6.0,4.0,1.0,2.0,1.0,0.0,A
F1,30/10/15,Rennes,Paris SG,0.0,1.0,0.0,0.0,5.0,13.0,2.0,5.0,0.0,0.0,0.0,0.0,A
F1,31/10/15,Ajaccio GFCO,Bordeaux,2.0,0.0,1.0,0.0,7.0,7.0,4.0,0.0,3.0,4.0,1.0,0.0,H
F1,31/10/15,Bastia,Caen,1.0,0.0,1.0,0.0,11.0,5.0,6.0,3.0,1.0,2.0,0.0,0.0,H
F1,31/10/15,Guingamp,Lorient,2.0,2.0,1.0,0.0,13.0,12.0,4.0,4.0,3.0,1.0,1.0,1.0,D
F1,31/10/15,St Etienne,Reims,3.0,0.0,0.0,0.0,20.0,8.0,8.0,5.0,1.0,1.0,0.0,0.0,H
F1,31/10/15,Toulouse,Montpellier,1.0,1.0,1.0,1.0,10.0,7.0,5.0,1.0,4.0,2.0,0.0,0.0,D
F1,31/10/15,Troyes,Lyon,0.0,1.0,0.0,0.0,8.0,31.0,2.0,6.0,2.0,0.0,1.0,0.0,A
F1,01/11/15,Monaco,Angers,1.0,0.0,1.0,0.0,13.0,15.0,2.0,5.0,3.0,4.0,0.0,0.0,H
F1,01/11/15,Nantes,Marseille,0.0,1.0,0.0,0.0,12.0,12.0,4.0,3.0,2.0,1.0,0.0,0.0,A
F1,01/11/15,Nice,Lille,0.0,0.0,0.0,0.0,9.0,9.0,4.0,1.0,3.0,3.0,0.0,0.0,D
F1,04/11/15,Nice,Nantes,1.0,2.0,1.0,1.0,9.0,12.0,3.0,6.0,1.0,3.0,0.0,0.0,A
F1,06/11/15,Angers,Rennes,0.0,2.0,0.0,1.0,18.0,10.0,3.0,2.0,1.0,2.0,0.0,0.0,A
F1,07/11/15,Caen,Guingamp,2.0,1.0,0.0,0.0,16.0,13.0,5.0,6.0,1.0,1.0,0.0,0.0,H
F1,07/11/15,Lille,Bastia,1.0,1.0,0.0,0.0,10.0,9.0,1.0,2.0,1.0,3.0,1.0,0.0,D
F1,07/11/15,Lorient,Troyes,4.0,1.0,1.0,0.0,29.0,13.0,10.0,6.0,0.0,0.0,0.0,0.0,H
F1,07/11/15,Montpellier,Nantes,2.0,1.0,1.0,0.0,10.0,10.0,4.0,2.0,0.0,4.0,0.0,0.0,H
F1,07/11/15,Paris SG,Toulouse,5.0,0.0,2.0,0.0,15.0,7.0,9.0,0.0,2.0,1.0,0.0,0.0,H
F1,07/11/15,Reims,Ajaccio GFCO,1.0,2.0,0.0,1.0,13.0,11.0,2.0,4.0,3.0,2.0,0.0,0.0,A
F1,08/11/15,Bordeaux,Monaco,3.0,1.0,2.0,1.0,9.0,13.0,4.0,6.0,2.0,2.0,0.0,0.0,H
F1,08/11/15,Lyon,St Etienne,3.0,0.0,1.0,0.0,17.0,6.0,8.0,1.0,4.0,4.0,0.0,0.0,H
F1,08/11/15,Marseille,Nice,0.0,1.0,0.0,1.0,14.0,9.0,3.0,4.0,2.0,2.0,0.0,0.0,A
F1,20/11/15,Nice,Lyon,3.0,0.0,1.0,0.0,13.0,13.0,8.0,1.0,1.0,2.0,0.0,0.0,H
F1,21/11/15,Guingamp,Toulouse,2.0,0.0,0.0,0.0,7.0,13.0,5.0,3.0,3.0,3.0,0.0,1.0,H
F1,21/11/15,Lorient,Paris SG,1.0,2.0,0.0,2.0,13.0,8.0,6.0,3.0,2.0,1.0,0.0,0.0,A
F1,21/11/15,Monaco,Nantes,1.0,0.0,1.0,0.0,8.0,12.0,4.0,2.0,2.0,1.0,0.0,0.0,H
F1,21/11/15,Montpellier,Reims,3.0,1.0,1.0,1.0,11.0,11.0,4.0,4.0,3.0,2.0,0.0,0.0,H
F1,21/11/15,Troyes,Lille,1.0,1.0,0.0,1.0,10.0,16.0,5.0,6.0,2.0,1.0,0.0,0.0,D
F1,22/11/15,Bastia,Ajaccio GFCO,1.0,2.0,1.0,1.0,9.0,15.0,5.0,4.0,2.0,1.0,0.0,0.0,A
F1,22/11/15,Caen,Angers,0.0,0.0,0.0,0.0,13.0,11.0,2.0,4.0,1.0,1.0,1.0,0.0,D
F1,22/11/15,Rennes,Bordeaux,2.0,2.0,1.0,1.0,8.0,8.0,4.0,5.0,2.0,2.0,0.0,1.0,D
F1,22/11/15,St Etienne,Marseille,0.0,2.0,0.0,1.0,12.0,14.0,4.0,6.0,1.0,1.0,0.0,0.0,A
F1,27/11/15,Lyon,Montpellier,2.0,4.0,1.0,2.0,12.0,15.0,5.0,9.0,3.0,4.0,0.0,0.0,A
F1,28/11/15,Ajaccio GFCO,Lorient,1.0,1.0,1.0,1.0,17.0,5.0,3.0,2.0,2.0,1.0,0.0,0.0,D
F1,28/11/15,Angers,Lille,2.0,0.0,2.0,0.0,9.0,8.0,5.0,0.0,2.0,3.0,0.0,1.0,H
F1,28/11/15,Nantes,Bastia,0.0,0.0,0.0,0.0,14.0,6.0,3.0,1.0,2.0,2.0,1.0,0.0,D
F1,28/11/15,Paris SG,Troyes,4.0,1.0,1.0,0.0,22.0,11.0,9.0,3.0,0.0,1.0,0.0,0.0,H
F1,28/11/15,Reims,Rennes,2.0,2.0,0.0,1.0,12.0,11.0,4.0,6.0,3.0,4.0,1.0,0.0,D
F1,28/11/15,Toulouse,Nice,2.0,0.0,1.0,0.0,10.0,8.0,6.0,3.0,2.0,2.0,0.0,1.0,H
F1,29/11/15,Bordeaux,Caen,1.0,4.0,0.0,1.0,10.0,13.0,3.0,10.0,3.0,2.0,1.0,0.0,A
F1,29/11/15,Marseille,Monaco,3.0,3.0,1.0,2.0,12.0,10.0,6.0,5.0,1.0,3.0,0.0,0.0,D
F1,29/11/15,St Etienne,Guingamp,3.0,0.0,0.0,0.0,10.0,14.0,7.0,4.0,2.0,3.0,1.0,0.0,H
F1,01/12/15,Angers,Paris SG,0.0,0.0,0.0,0.0,8.0,12.0,1.0,3.0,0.0,1.0,0.0,0.0,D
F1,01/12/15,Lorient,Nice,0.0,0.0,0.0,0.0,10.0,12.0,3.0,7.0,2.0,5.0,0.0,0.0,D
F1,01/12/15,Nantes,Lyon,0.0,0.0,0.0,0.0,9.0,10.0,3.0,5.0,1.0,2.0,0.0,0.0,D
