Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR
SC0,29/10/16,Motherwell,Ross County,4,1,2,0,12,13,5,3,1,2,0,0,H
SC0,29/10/16,Rangers,Kilmarnock,3,0,2,0,24,7,10,1,0,2,0,0,H
SC0,29/10/16,St Johnstone,Partick,1,2,1,1,11,12,4,8,1,3,0,0,A
SC0,04/11/16,Partick,Aberdeen,1,2,0,1,11,10,6,6,2,0,0,0,A
SC0,05/11/16,Celtic,Inverness C,3,0,0,0,26,7,7,4,0,0,0,1,H
SC0,05/11/16,Dundee,Motherwell,2,0,1,0,13,8,5,3,1,2,0,0,H
SC0,05/11/16,Hearts,St Johnstone,2,2,1,1,9,9,5,5,3,2,0,0,D
SC0,05/11/16,Kilmarnock,Hamilton,0,0,0,0,14,15,6,5,1,2,0,0,D
SC0,06/11/16,Ross County,Rangers,1,1,1,1,15,11,3,4,6,2,0,0,D
SC0,18/11/16,Kilmarnock,Celtic,0,1,0,1,9,16,2,6,2,3,0,0,A
SC0,19/11/16,Inverness C,Aberdeen,1,3,1,2,7,13,3,9,1,1,0,0,A
SC0,19/11/16,Motherwell,Partick,2,0,2,0,11,13,4,4,1,4,0,0,H
SC0,19/11/16,Rangers,Dundee,1,0,0,0,18,4,7,1,1,2,0,0,H
SC0,19/11/16,St Johnstone,Ross County,2,4,0,2,8,10,3,5,3,2,0,0,A
SC0,21/11/16,Hamilton,Hearts,3,3,1,1,9,12,5,7,1,2,0,0,D
SC0,26/11/16,Dundee,Inverness C,2,1,1,0,13,20,4,3,3,1,0,1,H
SC0,26/11/16,Hearts,Motherwell,3,0,1,0,21,10,9,0,1,1,0,0,H
SC0,26/11/16,Partick,Rangers,1,2,0,0,6,14,4,6,1,4,0,0,A
SC0,26/11/16,Ross County,Hamilton,1,1,1,0,14,7,6,3,3,2,0,0,D
SC0,30/11/16,Hearts,Rangers,2,0,1,0,12,7,9,1,2,1,0,0,H
SC0,03/12/16,Hamilton,Partick,1,1,1,0,7,15,4,2,4,1,0,0,D
SC0,03/12/16,Kilmarnock,Dundee,2,0,1,0,19,9,8,2,2,3,0,0,H
SC0,03/12/16,Motherwell,Celtic,3,4,2,0,6,28,5,11,4,3,0,0,A
SC0,03/12/16,Rangers,Aberdeen,2,1,0,0,10,11,4,5,5,2,1,1,H
SC0,03/12/16,Ross County,Hearts,2,2,1,0,11,17,7,4,3,1,0,0,D
SC0,03/12/16,St Johnstone,Inverness C,3,0,1,0,14,11,5,3,2,2,0,1,H
SC0,06/12/16,Aberdeen,Kilmarnock,5,1,3,0,12,8,7,1,2,1,0,0,H
SC0,09/12/16,Partick,Celtic,1,4,0,1,4,15,1,6,2,0,0,0,A
SC0,10/12/16,Aberdeen,St Johnstone,0,0,0,0,8,8,2,1,1,3,0,0,D
SC0,10/12/16,Dundee,Ross County,0,0,0,0,6,11,2,5,2,3,0,0,D
SC0,10/12/16,Inverness C,Hamilton,1,1,0,1,12,11,6,3,3,3,0,0,D
SC0,10/12/16,Motherwell,Kilmarnock,0,0,0,0,11,12,2,5,2,3,0,0,D
SC0,10/12/16,Rangers,Hearts,2,0,1,0,14,9,5,1,1,4,0,0,H
SC0,13/12/16,Celtic,Hamilton,1,0,1,0,15,5,2,2,1,2,0,0,H
SC0,16/12/16,Hamilton,Rangers,1,2,0,1,8,19,1,7,5,1,0,0,A
SC0,17/12/16,Celtic,Dundee,2,1,1,0,22,6,7,2,1,1,0,0,H
SC0,17/12/16,Hearts,Partick,1,1,1,0,8,12,4,4,0,2,0,0,D
SC0,17/12/16,Kilmarnock,Inverness C,1,1,0,0,9,5,3,2,3,2,0,0,D
SC0,17/12/16,Ross County,Aberdeen,2,1,1,0,13,16,8,5,2,2,1,0,H
SC0,17/12/16,St Johnstone,Motherwell,1,1,0,1,8,4,5,1,1,1,0,0,D
SC0,20/12/16,Celtic,Partick,1,0,1,0,19,10,8,4,2,2,0,0,H
SC0,23/12/16,Dundee,Hearts,3,2,0,1,9,18,4,8,1,1,0,0,H
SC0,23/12/16,Kilmarnock,St Johnstone,0,1,0,1,14,13,3,5,1,2,1,0,A
SC0,23/12/16,Motherwell,Aberdeen,1,3,1,2,12,24,4,9,2,2,0,0,A
SC0,23/12/16,Ross County,Partick,1,3,0,0,6,9,3,7,1,0,0,0,A
SC0,24/12/16,Hamilton,Celtic,0,3,0,1,5,12,3,6,3,0,0,1,A
SC0,24/12/16,Rangers,Inverness C,1,0,1,0,11,11,5,3,1,3,0,0,H
SC0,27/12/16,Aberdeen,Hamilton,2,1,1,1,17,7,7,6,2,3,0,1,H
SC0,27/12/16,Hearts,Kilmarnock,4,0,2,0,18,4,9,1,0,2,0,0,H
SC0,28/12/16,Celtic,Ross County,2,0,2,0,18,4,8,2,0,2,0,0,H
SC0,28/12/16,Inverness C,Motherwell,1,2,0,0,15,6,4,3,4,1,0,0,A
SC0,28/12/16,Partick,Dundee,2,0,2,0,7,10,5,3,5,2,0,0,H
SC0,28/12/16,St Johnstone,Rangers,1,1,1,1,6,18,2,4,3,3,0,0,D
SC0,30/12/16,Hearts,Aberdeen,0,1,0,0,7,13,4,6,2,2,0,0,A
SC0,31/12/16,Dundee,St Johnstone,3,0,2,0,7,11,5,4,1,2,0,0,H
SC0,31/12/16,Hamilton,Motherwell,1,1,0,0,14,13,4,6,2,2,0,1,D
SC0,31/12/16,Partick,Kilmarnock,0,0,0,0,8,12,5,5,1,1,0,0,D
SC0,31/12/16,Rangers,Celtic,1,2,1,1,10,23,6,10,3,3,0,0,A
SC0,31/12/16,Ross County,Inverness C,3,2,2,1,14,12,8,5,1,2,0,0,H
SC0,25/01/17,Celtic,St Johnstone,1,0,0,0,25,4,9,1,1,2,0,0,H
SC0,27/01/17,Aberdeen,Dundee,3,0,2,0,14,4,9,1,1,1,0,0,H
SC0,28/01/17,Inverness C,Partick,0,0,0,0,8,10,2,4,2,0,0,0,D
SC0,28/01/17,Kilmarnock,Ross County,3,2,1,2,10,6,6,3,2,2,0,0,H
SC0,28/01/17,Motherwell,Rangers,0,2,0,0,9,19,3,9,0,2,1,1,A
SC0,28/01/17,St Johnstone,Hamilton,3,0,0,0,5,10,3,4,1,1,0,0,H
