Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR
F1,06/08/11,Ajaccio,Toulouse,0,2,0,1,18,13,6,8,4,2,0,0,A
F1,06/08/11,Brest,Evian Thonon Gaillard,2,2,2,2,23,9,7,3,2,2,0,0,D
F1,06/08/11,Caen,Valenciennes,1,0,1,0,11,11,3,6,2,1,0,0,H
F1,06/08/11,Marseille,Sochaux,2,2,1,0,27,8,8,3,1,3,0,0,D
F1,06/08/11,Montpellier,Auxerre,3,1,1,1,13,18,4,8,0,1,0,0,H
F1,06/08/11,Nancy,Lille,1,1,0,0,5,18,1,6,2,3,1,0,D
F1,06/08/11,Nice,Lyon,1,3,1,2,12,22,4,9,2,1,0,0,A
F1,06/08/11,Paris SG,Lorient,0,1,0,1,12,9,3,4,1,3,0,0,A
F1,07/08/11,Bordeaux,St Etienne,1,2,0,2,12,12,5,2,1,4,0,0,A
F1,07/08/11,Dijon,Rennes,1,5,1,2,18,15,5,7,3,2,0,0,A
F1,13/08/11,Lorient,Bordeaux,1,1,0,0,11,11,5,6,1,1,0,1,D
F1,13/08/11,Lyon,Ajaccio,1,1,0,0,25,7,8,2,1,3,0,0,D
F1,13/08/11,Rennes,Paris SG,1,1,0,0,11,8,4,4,2,2,0,0,D
F1,13/08/11,Sochaux,Caen,1,2,0,1,18,16,8,6,0,1,0,0,A
F1,13/08/11,St Etienne,Nancy,1,0,0,0,16,5,4,2,2,1,0,0,H
F1,13/08/11,Toulouse,Dijon,2,0,0,0,13,7,7,3,1,2,0,0,H
F1,13/08/11,Valenciennes,Brest,0,0,0,0,12,7,6,6,1,1,0,0,D
F1,14/08/11,Auxerre,Marseille,2,2,0,2,13,7,5,2,5,2,0,0,D
F1,14/08/11,Evian Thonon Gaillard,Nice,1,0,0,0,13,12,4,3,3,1,0,0,H
F1,14/08/11,Lille,Montpellier,0,1,0,0,20,9,6,3,3,2,0,0,A
F1,20/08/11,Ajaccio,Evian Thonon Gaillard,1,1,1,0,7,18,2,3,4,3,0,0,D
F1,20/08/11,Bordeaux,Auxerre,1,1,1,0,16,8,4,2,1,3,0,0,D
F1,20/08/11,Brest,Lyon,1,1,1,0,12,8,6,2,2,2,0,1,D
F1,20/08/11,Caen,Lille,1,2,0,0,6,19,2,10,1,2,0,0,A
F1,20/08/11,Dijon,Lorient,2,0,1,0,6,23,2,6,2,4,1,0,H
F1,20/08/11,Nice,Toulouse,1,1,1,0,12,8,3,3,3,2,0,1,D
F1,21/08/11,Marseille,St Etienne,0,0,0,0,18,4,4,1,1,3,0,1,D
