Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR
SP1,17/08/13,Sociedad,Getafe,2,0,1,0,16,15,6,2,1,1,0,0,H
SP1,17/08/13,Valencia,Malaga,1,0,0,0,9,11,1,2,3,5,0,0,H
SP1,17/08/13,Valladolid,Ath Bilbao,1,2,1,1,8,13,2,3,1,0,0,0,A
SP1,18/08/13,Barcelona,Levante,7,0,6,0,22,4,13,1,1,3,0,0,H
SP1,18/08/13,Osasuna,Granada,1,2,0,2,14,13,5,4,1,4,0,0,A
SP1,18/08/13,Real Madrid,Betis,2,1,1,1,20,11,9,4,1,2,0,0,H
SP1,18/08/13,Sevilla,Ath Madrid,1,3,1,1,14,16,5,6,4,4,0,0,A
SP1,19/08/13,Almeria,Villarreal,2,3,1,0,15,14,2,4,2,0,0,0,A
SP1,19/08/13,Celta,Espanol,2,2,1,0,15,6,10,5,4,4,0,0,D
SP1,19/08/13,Vallecano,Elche,3,0,2,0,11,8,5,1,2,2,0,0,H
SP1,23/08/13,Ath Bilbao,Osasuna,2,0,1,0,8,18,2,5,2,2,0,0,H
SP1,23/08/13,Getafe,Almeria,2,2,1,2,14,16,5,7,2,1,0,0,D
SP1,24/08/13,Elche,Sociedad,1,1,1,0,12,11,2,4,4,3,0,0,D
SP1,24/08/13,Espanol,Valencia,3,1,1,1,13,8,3,2,3,3,0,0,H
SP1,24/08/13,Villarreal,Valladolid,2,1,1,1,17,6,6,2,4,2,0,0,H
SP1,25/08/13,Ath Madrid,Vallecano,5,0,3,0,14,7,5,1,0,1,0,0,H
SP1,25/08/13,Betis,Celta,1,2,0,0,20,13,6,4,1,3,0,1,A
SP1,25/08/13,Levante,Sevilla,0,0,0,0,8,18,3,3,3,5,0,0,D
SP1,25/08/13,Malaga,Barcelona,0,1,0,1,9,15,3,11,3,2,0,0,A
SP1,26/08/13,Granada,Real Madrid,0,1,0,1,8,21,3,8,4,2,0,0,A
SP1,30/08/13,Almeria,Elche,2,2,2,1,9,15,5,9,3,5,1,0,D
SP1,30/08/13,Vallecano,Levante,1,2,0,1,23,6,8,2,4,3,1,0,A
SP1,31/08/13,Celta,Granada,1,1,1,0,17,3,4,1,1,2,0,0,D
SP1,31/08/13,Osasuna,Villarreal,0,3,0,2,9,9,3,4,3,2,0,0,A
SP1,31/08/13,Valladolid,Getafe,1,0,0,0,21,16,6,0,2,2,0,0,H
SP1,01/09/13,Espanol,Betis,0,0,0,0,10,8,3,3,2,4,0,0,D
SP1,01/09/13,Real Madrid,Ath Bilbao,3,1,2,0,20,12,7,2,1,2,0,0,H
SP1,01/09/13,Sevilla,Malaga,2,2,1,1,15,15,7,6,3,3,0,1,D
SP1,01/09/13,Sociedad,Ath Madrid,1,2,0,1,10,16,4,9,2,4,0,0,A
SP1,01/09/13,Valencia,Barcelona,2,3,2,3,16,20,10,9,2,3,0,0,A
SP1,14/09/13,Ath Madrid,Almeria,4,2,2,1,20,7,8,2,2,4,0,0,H
SP1,14/09/13,Barcelona,Sevilla,3,2,1,0,19,7,10,2,2,5,0,0,H
SP1,14/09/13,Levante,Sociedad,0,0,0,0,13,13,5,3,3,1,0,0,D
SP1,14/09/13,Villarreal,Real Madrid,2,2,1,1,19,20,9,6,2,3,0,0,D
SP1,15/09/13,Betis,Valencia,3,1,3,0,21,5,9,2,0,1,0,0,H
SP1,15/09/13,Getafe,Osasuna,2,1,1,1,14,11,5,6,2,4,0,0,H
SP1,15/09/13,Granada,Espanol,0,1,0,0,9,7,1,3,3,3,1,0,A
SP1,15/09/13,Malaga,Vallecano,5,0,2,0,17,12,9,2,1,2,0,0,H
SP1,16/09/13,Ath Bilbao,Celta,3,2,1,1,16,8,6,3,2,3,0,0,H
SP1,16/09/13,Elche,Valladolid,0,0,0,0,10,8,5,4,4,1,0,0,D
SP1,20/09/13,Osasuna,Elche,2,1,1,0,8,13,3,4,2,1,0,0,H
SP1,21/09/13,Almeria,Levante,2,2,1,0,13,16,8,7,4,7,1,0,D
SP1,21/09/13,Sociedad,Malaga,0,0,0,0,10,11,2,4,3,3,0,0,D
SP1,21/09/13,Valladolid,Ath Madrid,0,2,0,0,12,15,2,6,2,2,0,0,A
SP1,21/09/13,Vallecano,Barcelona,0,4,0,1,14,14,9,8,2,1,0,0,A
SP1,22/09/13,Betis,Granada,0,0,0,0,19,4,6,1,4,1,0,0,D
SP1,22/09/13,Celta,Villarreal,0,0,0,0,5,12,1,4,5,1,0,0,D
SP1,22/09/13,Real Madrid,Getafe,4,1,2,1,29,7,11,4,1,3,0,1,H
SP1,22/09/13,Valencia,Sevilla,3,1,1,0,26,9,6,3,2,1,0,0,H
SP1,23/09/13,Espanol,Ath Bilbao,3,2,1,1,11,9,6,3,2,2,0,0,H
SP1,24/09/13,Ath Madrid,Osasuna,2,1,2,1,13,7,4,1,3,1,0,0,H
SP1,24/09/13,Barcelona,Sociedad,4,1,3,0,23,9,9,5,0,1,0,0,H
SP1,24/09/13,Levante,Valladolid,1,1,1,1,24,4,4,2,2,4,0,1,D
SP1,24/09/13,Malaga,Almeria,2,0,0,0,16,7,7,2,2,1,0,0,H
SP1,25/09/13,Elche,Real Madrid,1,2,0,0,11,12,3,5,8,2,1,0,A
SP1,25/09/13,Granada,Valencia,0,1,0,0,13,14,4,3,4,2,0,0,A
SP1,25/09/13,Sevilla,Vallecano,4,1,1,0,16,10,7,4,3,4,0,2,H
SP1,26/09/13,Ath Bilbao,Betis,2,1,0,0,20,10,8,5,1,5,0,0,H
SP1,26/09/13,Getafe,Celta,2,0,1,0,14,9,3,2,2,1,0,0,H
SP1,26/09/13,Villarreal,Espanol,2,1,1,0,8,12,5,3,1,3,0,0,H
SP1,27/09/13,Valladolid,Malaga,2,2,0,1,13,11,3,4,3,0,0,0,D
SP1,28/09/13,Almeria,Barcelona,0,2,0,1,5,15,1,4,1,2,0,0,A
SP1,28/09/13,Real Madrid,Ath Madrid,0,1,0,1,20,13,5,4,4,4,0,0,A
SP1,28/09/13,Sociedad,Sevilla,1,1,0,1,17,10,5,3,0,4,0,1,D
SP1,28/09/13,Valencia,Vallecano,1,0,1,0,5,13,4,3,3,5,0,0,H
