Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR
E0,13/08/16,Burnley,Swansea,0,1,0,0,10,17,3,9,3,2,0,0,A
E0,13/08/16,Crystal Palace,West Brom,0,1,0,0,14,13,4,3,2,2,0,0,A
E0,13/08/16,Everton,Tottenham,1,1,1,0,12,13,6,4,0,0,0,0,D
E0,13/08/16,Hull,Leicester,2,1,1,0,14,18,5,5,2,2,0,0,H
E0,13/08/16,Man City,Sunderland,2,1,1,0,16,7,4,3,1,2,0,0,H
E0,13/08/16,Middlesbrough,Stoke,1,1,1,0,12,12,2,1,3,5,0,0,D
E0,13/08/16,Southampton,Watford,1,1,0,1,24,5,6,1,1,2,0,1,D
E0,14/08/16,Arsenal,Liverpool,3,4,1,1,9,16,5,7,3,3,0,0,A
E0,14/08/16,Bournemouth,Man United,1,3,0,1,9,11,3,7,0,1,0,0,A
E0,15/08/16,Chelsea,West Ham,2,1,0,0,16,7,6,3,5,2,0,0,H
E0,19/08/16,Man United,Southampton,2,0,1,0,12,13,5,1,0,0,0,0,H
E0,20/08/16,Burnley,Liverpool,2,0,2,0,3,26,2,5,0,1,0,0,H
E0,20/08/16,Leicester,Arsenal,0,0,0,0,8,13,1,4,1,2,0,0,D
E0,20/08/16,Stoke,Man City,1,4,0,2,8,12,3,6,3,4,0,0,A
E0,20/08/16,Swansea,Hull,0,2,0,0,13,12,3,4,0,0,0,0,A
E0,20/08/16,Tottenham,Crystal Palace,1,0,0,0,20,10,5,2,3,3,0,0,H
E0,20/08/16,Watford,Chelsea,1,2,0,0,6,13,2,4,4,3,0,0,A
E0,20/08/16,West Brom,Everton,1,2,1,1,11,13,4,7,3,1,0,0,A
E0,21/08/16,Sunderland,Middlesbrough,1,2,0,2,18,8,5,3,1,1,0,0,A
E0,21/08/16,West Ham,Bournemouth,1,0,0,0,15,8,2,5,3,1,0,1,H
E0,27/08/16,Chelsea,Burnley,3,0,2,0,22,6,10,0,2,2,0,0,H
E0,27/08/16,Crystal Palace,Bournemouth,1,1,0,1,24,10,5,3,2,1,0,0,D
E0,27/08/16,Everton,Stoke,1,0,0,0,21,8,9,1,2,1,0,0,H
E0,27/08/16,Hull,Man United,0,1,0,0,8,29,2,9,2,3,0,0,A
E0,27/08/16,Leicester,Swansea,2,1,1,0,13,9,6,3,2,2,0,0,H
E0,27/08/16,Southampton,Sunderland,1,1,0,0,16,5,7,2,2,2,0,0,D
E0,27/08/16,Tottenham,Liverpool,1,1,0,1,11,13,4,3,3,5,0,0,D
