Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR
F1,11/08/2023,Nice,Lille,1,1,1,0,8,12,3,5,3,2,0,0,D
F1,12/08/2023,Marseille,Reims,2,1,1,1,14,11,4,4,1,3,0,0,H
F1,12/08/2023,Paris SG,Lorient,0,0,0,0,20,4,4,0,0,0,0,0,D
F1,13/08/2023,Brest,Lens,3,2,1,2,15,10,8,2,2,3,0,1,H
F1,13/08/2023,Clermont,Monaco,2,4,1,2,15,14,7,8,0,4,0,0,A
F1,13/08/2023,Montpellier,Le Havre,2,2,0,1,15,12,5,4,1,2,0,0,D
F1,13/08/2023,Nantes,Toulouse,1,2,1,0,9,9,4,5,2,2,0,0,A
F1,13/08/2023,Rennes,Metz,5,1,1,1,29,9,14,3,0,2,0,0,H
F1,13/08/2023,Strasbourg,Lyon,2,1,0,0,8,23,2,7,2,2,0,0,H
F1,18/08/2023,Metz,Marseille,2,2,0,1,10,22,5,5,3,2,1,0,D
F1,19/08/2023,Lyon,Montpellier,1,4,0,2,7,14,3,8,4,1,1,0,A
F1,19/08/2023,Toulouse,Paris SG,1,1,0,0,8,16,2,3,0,3,0,0,D
F1,20/08/2023,Lille,Nantes,2,0,0,0,18,14,8,4,0,2,1,0,H
F1,20/08/2023,Le Havre,Brest,1,2,0,1,18,10,7,5,0,2,0,0,A
F1,20/08/2023,Lorient,Nice,1,1,0,0,9,21,2,8,1,1,0,0,D
F1,20/08/2023,Reims,Clermont,2,0,1,0,8,11,4,4,0,0,0,0,H
F1,20/08/2023,Monaco,Strasbourg,3,0,2,0,9,4,4,1,2,1,0,0,H
F1,20/08/2023,Lens,Rennes,1,1,1,0,15,10,4,5,2,1,0,0,D
F1,25/08/2023,Nantes,Monaco,3,3,2,1,3,27,3,10,2,2,0,0,D
F1,26/08/2023,Marseille,Brest,2,0,1,0,15,18,6,7,0,1,0,0,H
F1,26/08/2023,Paris SG,Lens,3,1,1,0,17,12,7,4,0,5,0,0,H
F1,27/08/2023,Rennes,Le Havre,2,2,2,1,22,7,8,3,1,2,0,1,D
F1,27/08/2023,Clermont,Metz,0,1,0,0,16,10,4,5,1,1,0,0,A
F1,27/08/2023,Montpellier,Reims,1,3,1,2,19,12,3,6,1,1,0,0,A
F1,27/08/2023,Strasbourg,Toulouse,2,0,0,0,11,7,3,1,1,3,0,0,H
F1,27/08/2023,Lorient,Lille,4,1,2,0,9,18,6,7,2,4,0,0,H
F1,27/08/2023,Nice,Lyon,0,0,0,0,21,6,4,1,1,4,0,0,D
F1,01/09/2023,Nantes,Marseille,1,1,1,1,10,26,2,9,0,2,1,0,D
