,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
16542,2005-06-23,40400407,Final,1610612759,1610612765,2004,1610612759,81.0,0.426,0.8420000000000001,0.636,14.0,38.0,1610612765,74.0,0.419,0.7140000000000001,0.143,17.0,34.0,1
16543,2005-06-21,40400406,Final,1610612759,1610612765,2004,1610612759,86.0,0.413,0.615,0.286,15.0,43.0,1610612765,95.0,0.4679999999999999,0.684,0.471,19.0,40.0,0
16544,2005-06-19,40400405,Final,1610612765,1610612759,2004,1610612765,95.0,0.44,0.826,0.222,17.0,42.0,1610612759,96.0,0.4629999999999999,0.5710000000000001,0.4,20.0,45.0,0
16545,2005-06-16,40400404,Final,1610612765,1610612759,2004,1610612765,102.0,0.456,0.7829999999999999,0.222,23.0,47.0,1610612759,71.0,0.371,0.583,0.3329999999999999,15.0,44.0,1
16546,2005-06-14,40400403,Final,1610612765,1610612759,2004,1610612765,96.0,0.471,0.765,0.214,22.0,44.0,1610612759,79.0,0.433,0.65,0.471,16.0,37.0,1
16547,2005-06-12,40400402,Final,1610612759,1610612765,2004,1610612759,97.0,0.4679999999999999,0.8240000000000001,0.4579999999999999,23.0,36.0,1610612765,76.0,0.402,0.625,0.0,17.0,45.0,1
16548,2005-06-09,40400401,Final,1610612759,1610612765,2004,1610612759,84.0,0.43,0.8,0.308,12.0,49.0,1610612765,69.0,0.377,0.7140000000000001,0.1669999999999999,15.0,35.0,1
16549,2005-06-06,40400307,Final,1610612748,1610612765,2004,1610612748,82.0,0.4639999999999999,0.667,0.182,12.0,35.0,1610612765,88.0,0.456,0.733,0.385,21.0,41.0,0
16550,2005-06-04,40400306,Final,1610612765,1610612748,2004,1610612765,91.0,0.419,0.632,0.412,24.0,46.0,1610612748,66.0,0.406,0.611,0.231,15.0,40.0,1
16551,2005-06-02,40400305,Final,1610612748,1610612765,2004,1610612748,88.0,0.522,0.565,0.375,17.0,38.0,1610612765,76.0,0.385,0.65,0.273,16.0,40.0,1
16552,2005-06-01,40400315,Final,1610612756,1610612759,2004,1610612756,95.0,0.4370000000000001,0.8240000000000001,0.294,16.0,43.0,1610612759,101.0,0.46,0.75,0.429,21.0,47.0,0
16553,2005-05-31,40400304,Final,1610612765,1610612748,2004,1610612765,106.0,0.481,0.718,0.5,27.0,39.0,1610612748,96.0,0.444,0.7440000000000001,0.214,17.0,38.0,1
16554,2005-05-30,40400314,Final,1610612759,1610612756,2004,1610612759,106.0,0.442,0.478,0.44,22.0,45.0,1610612756,111.0,0.5710000000000001,0.875,0.5,23.0,37.0,0
16555,2005-05-29,40400303,Final,1610612765,1610612748,2004,1610612765,104.0,0.439,0.6509999999999999,0.308,22.0,38.0,1610612748,113.0,0.523,0.7040000000000001,0.5,22.0,39.0,0
16556,2005-05-28,40400313,Final,1610612759,1610612756,2004,1610612759,102.0,0.461,0.867,0.3,19.0,49.0,1610612756,92.0,0.442,0.733,0.385,10.0,35.0,1
16557,2005-05-25,40400302,Final,1610612748,1610612765,2004,1610612748,92.0,0.462,0.7390000000000001,0.273,14.0,46.0,1610612765,86.0,0.3829999999999999,0.652,0.391,17.0,41.0,1
16558,2005-05-24,40400312,Final,1610612756,1610612759,2004,1610612756,108.0,0.557,0.8240000000000001,0.5,20.0,34.0,1610612759,111.0,0.512,0.7140000000000001,0.444,21.0,34.0,0
16559,2005-05-23,40400301,Final,1610612748,1610612765,2004,1610612748,81.0,0.4679999999999999,0.5,0.364,17.0,34.0,1610612765,90.0,0.457,0.833,0.545,20.0,41.0,0
16560,2005-05-22,40400311,Final,1610612756,1610612759,2004,1610612756,114.0,0.488,0.828,0.4,19.0,41.0,1610612759,121.0,0.517,0.677,0.435,18.0,45.0,0
16561,2005-05-20,40400226,Final,1610612742,1610612756,2004,1610612742,126.0,0.433,0.8140000000000001,0.35,13.0,47.0,1610612756,130.0,0.495,0.7,0.481,18.0,55.0,0
16562,2005-05-19,40400216,Final,1610612754,1610612765,2004,1610612754,79.0,0.48,0.286,0.263,27.0,36.0,1610612765,88.0,0.4370000000000001,0.917,0.308,17.0,40.0,0
16563,2005-05-19,40400236,Final,1610612760,1610612759,2004,1610612760,96.0,0.48,0.769,0.364,13.0,38.0,1610612759,98.0,0.4579999999999999,0.765,0.353,21.0,31.0,0
16564,2005-05-18,40400225,Final,1610612756,1610612742,2004,1610612756,114.0,0.4479999999999999,0.821,0.263,19.0,56.0,1610612742,108.0,0.436,0.75,0.364,19.0,42.0,1
16565,2005-05-17,40400235,Final,1610612759,1610612760,2004,1610612759,103.0,0.462,0.735,0.353,15.0,42.0,1610612760,90.0,0.4589999999999999,0.731,0.231,12.0,39.0,1
16566,2005-05-17,40400215,Final,1610612765,1610612754,2004,1610612765,86.0,0.429,0.643,0.3329999999999999,23.0,52.0,1610612754,67.0,0.369,0.8420000000000001,0.2,14.0,34.0,1
16567,2005-05-15,40400214,Final,1610612754,1610612765,2004,1610612754,76.0,0.371,0.75,0.158,14.0,41.0,1610612765,89.0,0.405,0.9,0.231,22.0,47.0,0
16568,2005-05-15,40400224,Final,1610612742,1610612756,2004,1610612742,119.0,0.5539999999999999,0.7240000000000001,0.429,21.0,43.0,1610612756,109.0,0.512,0.7390000000000001,0.381,16.0,37.0,1
16569,2005-05-15,40400234,Final,1610612760,1610612759,2004,1610612760,101.0,0.5,0.63,0.462,16.0,32.0,1610612759,89.0,0.417,0.8,0.313,16.0,40.0,1
16570,2005-05-14,40400204,Final,1610612764,1610612748,2004,1610612764,95.0,0.366,0.7440000000000001,0.3,12.0,41.0,1610612748,99.0,0.421,0.8390000000000001,0.375,18.0,47.0,0
16571,2005-05-13,40400213,Final,1610612754,1610612765,2004,1610612754,79.0,0.361,0.852,0.235,15.0,40.0,1610612765,74.0,0.369,0.821,0.188,17.0,42.0,1
16572,2005-05-13,40400223,Final,1610612742,1610612756,2004,1610612742,102.0,0.39,0.852,0.0559999999999999,18.0,52.0,1610612756,119.0,0.517,0.727,0.5,25.0,44.0,0
16573,2005-05-12,40400203,Final,1610612764,1610612748,2004,1610612764,95.0,0.4579999999999999,0.688,0.3329999999999999,23.0,29.0,1610612748,102.0,0.513,0.8420000000000001,0.4,22.0,43.0,0
