,Unnamed: 0,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,Mejores_FGM_Home,Mejores_FG3M_Home,Mejores_AST_Home,Mejores_REB_Home,Mejores_STL_Home,Mejores_FGM_Away,Mejores_FG3M_Away,Mejores_AST_Away,Mejores_REB_Away,Mejores_STL_Away,Basket_Average_Home,Dif_Home,Puntos_Home,Puntos_Encestados_Home,Victorias_Home,Derrotas_Home,Basket_Average_Away,Dif_Away,Puntos_Away,Puntos_Encestados_Away,Victorias_Away,Derrotas_Away
1424,12279,2008-10-05,10800002,Final,1610612740,1610612744,2008,1610612740,106.0,0.479,0.7140000000000001,0.19,25.0,45.0,1610612744,103.0,0.482,0.682,0.364,22.0,42.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1423,12278,2008-10-05,10800001,Final,1610612748,1610612765,2008,1610612748,91.0,0.4029999999999999,0.6409999999999999,0.235,20.0,43.0,1610612765,95.0,0.4379999999999999,0.7140000000000001,0.385,17.0,45.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1422,12277,2008-10-06,10800004,Final,1610612749,1610612750,2008,1610612749,79.0,0.3379999999999999,0.7929999999999999,0.364,18.0,35.0,1610612750,117.0,0.5820000000000001,0.721,0.615,23.0,38.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1421,12276,2008-10-06,10800003,Final,1610612753,1610612737,2008,1610612753,101.0,0.494,0.8,0.455,18.0,31.0,1610612737,118.0,0.505,0.789,0.5,23.0,42.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1420,12275,2008-10-07,10800006,Final,1610612757,1610612758,2008,1610612757,110.0,0.506,0.6759999999999999,0.368,32.0,47.0,1610612758,81.0,0.289,0.7859999999999999,0.25,10.0,39.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1419,12274,2008-10-07,10800009,Final,1610612745,1610612763,2008,1610612745,96.0,0.419,0.867,0.421,18.0,47.0,1610612763,93.0,0.422,0.594,0.235,17.0,39.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1418,12273,2008-10-07,10800008,Final,1610612742,1610612764,2008,1610612742,108.0,0.53,0.536,0.313,26.0,55.0,1610612764,82.0,0.356,0.8240000000000001,0.286,13.0,37.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1417,12272,2008-10-07,10800005,Final,1610612739,1610612761,2008,1610612739,84.0,0.402,0.619,0.263,21.0,32.0,1610612761,104.0,0.52,0.8,0.545,26.0,41.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1416,12271,2008-10-07,10800007,Final,1610612747,1610612762,2008,1610612747,90.0,0.508,0.677,0.273,24.0,40.0,1610612762,99.0,0.481,0.6759999999999999,0.2,25.0,28.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1415,12270,2008-10-08,10800017,Final,1610612757,1610612744,2008,1610612757,95.0,0.369,0.794,0.353,22.0,50.0,1610612744,110.0,0.481,0.7,0.267,20.0,40.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,29.0,29.0,2.0,110.0,1.0,0.0,-3.0,-3.0,1.0,103.0,0.0,1.0
