,Unnamed: 0,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,Mejores_FGM_Home,Mejores_FG3M_Home,Mejores_AST_Home,Mejores_REB_Home,Mejores_STL_Home,Mejores_FGM_Away,Mejores_FG3M_Away,Mejores_AST_Away,Mejores_REB_Away,Mejores_STL_Away,Basket_Average_Home,Dif_Home,Puntos_Home,Puntos_Encestados_Home,Victorias_Home,Derrotas_Home,Basket_Average_Away,Dif_Away,Puntos_Away,Puntos_Encestados_Away,Victorias_Away,Derrotas_Away
1404,23816,2016-10-01,11600002,Final,1610612740,1610612742,2016,1610612740,116.0,0.573,0.7140000000000001,0.5710000000000001,29.0,44.0,1610612742,102.0,0.429,0.72,0.429,23.0,36.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403,23815,2016-10-01,11600001,Final,1610612761,1610612744,2016,1610612761,97.0,0.43,0.586,0.261,14.0,58.0,1610612744,93.0,0.3929999999999999,0.625,0.3329999999999999,19.0,42.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1402,23814,2016-10-03,11600007,Final,1610612756,1610612759,2016,1610612756,91.0,0.3779999999999999,0.8420000000000001,0.273,16.0,48.0,1610612759,86.0,0.4,0.688,0.44,17.0,41.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1401,23813,2016-10-03,11600004,Final,1610612761,1610612743,2016,1610612761,106.0,0.433,0.778,0.318,15.0,43.0,1610612743,108.0,0.461,0.705,0.304,24.0,45.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,23812,2016-10-03,11600009,Final,1610612742,1610612766,2016,1610612742,95.0,0.422,0.6,0.3939999999999999,21.0,49.0,1610612766,88.0,0.368,0.718,0.182,14.0,48.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-14.0,-14.0,1.0,102.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1399,23811,2016-10-03,11600006,Final,1610612763,1610612753,2016,1610612763,102.0,0.472,0.7440000000000001,0.208,19.0,38.0,1610612753,97.0,0.479,0.64,0.4579999999999999,19.0,37.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1398,23810,2016-10-03,11600005,Final,1610612741,1610612749,2016,1610612741,91.0,0.461,0.64,0.263,22.0,48.0,1610612749,93.0,0.375,0.6970000000000001,0.4,20.0,45.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1397,23809,2016-10-04,11600016,Final,1610612744,1610612746,2016,1610612744,120.0,0.514,0.795,0.517,29.0,47.0,1610612746,75.0,0.325,0.731,0.222,17.0,35.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,1.0,93.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1396,23808,2016-10-04,11600015,Final,1610612747,1610612758,2016,1610612747,103.0,0.4589999999999999,0.628,0.308,19.0,52.0,1610612758,84.0,0.359,0.742,0.263,16.0,38.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1395,23807,2016-10-04,11600014,Final,1610612745,1610612752,2016,1610612745,130.0,0.537,0.846,0.476,27.0,51.0,1610612752,103.0,0.406,0.778,0.355,23.0,34.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
