,Unnamed: 0,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,Mejores_FGM_Home,Mejores_FG3M_Home,Mejores_AST_Home,Mejores_REB_Home,Mejores_STL_Home,Mejores_FGM_Away,Mejores_FG3M_Away,Mejores_AST_Away,Mejores_REB_Away,Mejores_STL_Away,Basket_Average_Home,Dif_Home,Puntos_Home,Puntos_Encestados_Home,Victorias_Home,Derrotas_Home,Basket_Average_Away,Dif_Away,Puntos_Away,Puntos_Encestados_Away,Victorias_Away,Derrotas_Away
1240,19651,2019-10-04,11900003,Final,1610612758,1610612754,2019,1610612758,131.0,0.494,0.778,0.417,30.0,30.0,1610612754,132.0,0.516,0.7879999999999999,0.37,26.0,47.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1239,19650,2019-10-04,11900002,Final,1610612746,1610612745,2019,1610612746,96.0,0.384,0.6,0.273,26.0,49.0,1610612745,109.0,0.375,0.8,0.2289999999999999,21.0,52.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1238,19649,2019-10-05,11900007,Final,1610612759,1610612753,2019,1610612759,89.0,0.3879999999999999,0.75,0.444,22.0,40.0,1610612753,125.0,0.526,0.7140000000000001,0.361,29.0,47.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1237,19648,2019-10-05,11900006,Final,1610612744,1610612747,2019,1610612744,101.0,0.3929999999999999,0.769,0.262,20.0,47.0,1610612747,123.0,0.475,0.633,0.303,32.0,58.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1236,19647,2019-10-05,11900005,Final,1610612754,1610612758,2019,1610612754,130.0,0.521,0.944,0.517,35.0,51.0,1610612758,106.0,0.3779999999999999,0.78,0.353,24.0,35.0,1,3.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,0.0,1.0,1.0,1.0,2.0,132.0,1.0,0.0,-1.0,-1.0,1.0,131.0,0.0,1.0
1235,19646,2019-10-06,11900010,Final,1610612738,1610612766,2019,1610612738,107.0,0.46,0.708,0.286,23.0,41.0,1610612766,106.0,0.444,0.8,0.368,29.0,48.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1234,19645,2019-10-07,11900016,Final,1610612741,1610612749,2019,1610612741,112.0,0.3779999999999999,0.684,0.316,24.0,45.0,1610612749,122.0,0.477,0.84,0.37,24.0,59.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1233,19644,2019-10-07,11900015,Final,1610612737,1610612740,2019,1610612737,109.0,0.46,0.625,0.341,26.0,44.0,1610612740,133.0,0.455,0.828,0.3779999999999999,25.0,54.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1232,19643,2019-10-07,11900014,Final,1610612764,1610612752,2019,1610612764,99.0,0.351,0.792,0.255,26.0,54.0,1610612752,104.0,0.418,0.684,0.429,25.0,55.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1231,19642,2019-10-07,11900013,Final,1610612765,1610612753,2019,1610612765,91.0,0.337,0.7040000000000001,0.27,22.0,53.0,1610612753,115.0,0.455,0.667,0.429,32.0,57.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,2.0,125.0,1.0,0.0
