,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR,Gol_Average_Home,Dif_Home,Rojas_Home,Puntos_Home,Goles_Marcados_Home,Victorias_Home,Empates_Home,Derrotas_Home,Porterias_0_Home,Gol_Average_Away,Dif_Away,Rojas_Away,Puntos_Away,Goles_Marcados_Away,Victorias_Away,Empates_Away,Derrotas_Away,Porterias_0_Away
0,SC0,14/08/10,Aberdeen,Hamilton,4,0,2,0,7,10,3,3,1,1,0,0,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,SC0,14/08/10,Hearts,St Johnstone,1,1,1,1,8,6,1,3,2,2,0,1,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,SC0,14/08/10,Inverness C,Celtic,0,1,0,0,8,22,3,15,0,0,0,0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,SC0,14/08/10,Rangers,Kilmarnock,2,1,1,0,20,7,12,3,0,1,0,0,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,SC0,14/08/10,St Mirren,Dundee United,1,1,0,0,3,14,2,5,2,3,0,0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,SC0,15/08/10,Motherwell,Hibernian,2,3,1,1,15,15,10,10,0,2,0,0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,SC0,21/08/10,Hamilton,Hearts,0,4,0,2,2,8,1,4,1,2,1,1,A,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
7,SC0,21/08/10,St Johnstone,Aberdeen,0,1,0,0,6,9,2,4,2,3,0,0,A,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,3.0,4.0,1.0,0.0,0.0,1.0
8,SC0,22/08/10,Celtic,St Mirren,4,0,2,0,16,1,8,1,1,2,0,0,H,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
9,SC0,22/08/10,Dundee United,Inverness C,0,4,0,1,5,9,3,6,0,0,0,0,A,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,SC0,22/08/10,Hibernian,Rangers,0,3,0,0,11,9,7,7,2,2,1,1,A,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0
11,SC0,22/08/10,Kilmarnock,Motherwell,0,1,0,1,8,3,2,3,2,3,0,0,A,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
12,SC0,28/08/10,Aberdeen,Kilmarnock,0,1,0,0,10,19,5,12,1,1,0,0,A,2.5,-1.5,0.0,6.0,2.5,2.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.5,0.0,0.0,2.0,0.0
13,SC0,28/08/10,Inverness C,Hamilton,0,1,0,1,2,8,1,4,2,1,0,0,A,1.5,2.5,0.0,3.0,2.0,1.0,0.0,1.0,1.0,-4.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0
14,SC0,28/08/10,Rangers,St Johnstone,2,1,1,1,15,6,10,3,3,2,0,0,H,2.0,1.0,0.5,6.0,2.5,2.0,0.0,0.0,1.0,-0.5,-0.5,0.5,1.0,0.5,0.0,1.0,1.0,0.0
15,SC0,29/08/10,Hearts,Dundee United,1,1,1,0,14,7,7,5,1,2,0,0,D,2.0,2.0,0.5,4.0,2.5,1.0,1.0,0.0,1.0,-2.0,-2.0,0.0,1.0,0.5,0.0,1.0,1.0,0.0
16,SC0,29/08/10,Motherwell,Celtic,0,1,0,0,5,18,2,6,1,2,1,0,A,0.0,1.0,0.0,3.0,1.5,1.0,0.0,1.0,1.0,2.5,1.5,0.0,6.0,2.5,2.0,0.0,0.0,2.0
17,SC0,29/08/10,St Mirren,Hibernian,1,0,0,0,4,7,2,1,3,1,0,0,H,-2.0,-2.0,0.0,1.0,0.5,0.0,1.0,1.0,0.0,-1.0,-2.0,0.5,3.0,1.5,1.0,0.0,1.0,0.0
18,SC0,11/09/10,Celtic,Hearts,3,0,2,0,12,6,8,3,0,1,0,0,H,2.0,-0.5,0.0,9.0,2.0,3.0,0.0,0.0,3.0,1.3333333333333333,-0.6666666666666667,0.3333333333333333,5.0,2.0,1.0,2.0,0.0,1.0
19,SC0,11/09/10,Dundee United,Aberdeen,3,1,3,1,7,4,4,4,0,4,0,0,H,-1.3333333333333333,0.6666666666666667,0.0,2.0,0.6666666666666666,0.0,2.0,1.0,0.0,1.3333333333333333,-1.1666666666666667,0.0,6.0,1.6666666666666667,2.0,0.0,1.0,2.0
20,SC0,11/09/10,Hamilton,Rangers,1,2,0,1,6,7,3,6,2,2,0,0,A,-2.3333333333333335,1.6666666666666665,0.3333333333333333,3.0,0.3333333333333333,1.0,0.0,2.0,1.0,1.6666666666666667,-0.33333333333333326,0.3333333333333333,9.0,2.3333333333333335,3.0,0.0,0.0,1.0
21,SC0,11/09/10,Hibernian,Inverness C,1,1,1,0,9,11,4,2,2,1,0,0,D,-1.0,0.0,0.3333333333333333,3.0,1.0,1.0,0.0,2.0,0.0,0.6666666666666666,-0.8333333333333334,0.0,3.0,1.3333333333333333,1.0,0.0,2.0,1.0
22,SC0,11/09/10,Kilmarnock,St Mirren,2,1,1,0,22,6,8,2,1,2,0,1,H,-0.3333333333333333,0.6666666666666667,0.0,3.0,0.6666666666666666,1.0,0.0,2.0,1.0,-1.0,1.0,0.0,4.0,0.6666666666666666,1.0,1.0,1.0,1.0
23,SC0,11/09/10,St Johnstone,Motherwell,0,2,0,2,6,6,1,2,0,0,0,0,A,-0.6666666666666666,-0.16666666666666663,0.3333333333333333,1.0,0.6666666666666666,0.0,1.0,2.0,0.0,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,3.0,1.0,1.0,0.0,2.0,1.0
24,SC0,18/09/10,Hibernian,Hamilton,1,1,1,1,8,6,3,3,1,1,0,0,D,-0.75,0.25,0.25,4.0,1.0,1.0,1.0,2.0,0.0,-2.0,0.3333333333333335,0.25,3.0,0.5,1.0,0.0,3.0,1.0
25,SC0,18/09/10,Inverness C,Hearts,1,3,1,1,11,11,8,8,2,2,0,0,A,0.5,-0.16666666666666663,0.0,4.0,1.25,1.0,1.0,2.0,1.0,0.25,-1.0833333333333333,0.25,5.0,1.5,1.0,2.0,1.0,1.0
26,SC0,18/09/10,Motherwell,Aberdeen,1,1,1,0,9,5,4,2,1,0,0,0,D,0.25,0.5833333333333333,0.25,6.0,1.25,2.0,0.0,2.0,2.0,0.5,-0.8333333333333333,0.0,6.0,1.5,2.0,0.0,2.0,2.0
27,SC0,18/09/10,Rangers,Dundee United,4,0,1,0,17,5,12,2,0,2,0,0,H,1.5,-0.16666666666666674,0.25,12.0,2.25,4.0,0.0,0.0,1.0,-0.5,0.8333333333333333,0.0,5.0,1.25,1.0,2.0,1.0,0.0
28,SC0,18/09/10,St Johnstone,St Mirren,2,1,2,1,9,4,6,1,0,2,0,0,H,-1.0,-0.33333333333333337,0.25,1.0,0.5,0.0,1.0,3.0,0.0,-1.0,0.0,0.25,4.0,0.75,1.0,1.0,2.0,1.0
29,SC0,19/09/10,Kilmarnock,Celtic,1,2,1,1,2,6,1,3,3,2,0,0,A,0.0,0.3333333333333333,0.0,6.0,1.0,2.0,0.0,2.0,1.0,2.25,0.25,0.0,12.0,2.25,4.0,0.0,0.0,4.0
30,SC0,25/09/10,Celtic,Hibernian,2,1,1,0,12,4,6,1,1,1,0,0,H,2.0,-0.25,0.0,15.0,2.2,5.0,0.0,0.0,4.0,-0.6,0.15000000000000002,0.2,5.0,1.0,1.0,2.0,2.0,0.0
31,SC0,25/09/10,Dundee United,St Johnstone,1,0,0,0,7,5,3,1,3,7,0,0,H,-1.2,-0.7,0.0,5.0,1.0,1.0,2.0,2.0,0.0,-0.6,0.4,0.2,4.0,0.8,1.0,1.0,3.0,0.0
32,SC0,25/09/10,Hamilton,Kilmarnock,2,2,2,0,8,6,6,3,5,0,0,0,D,-1.6,0.3999999999999999,0.2,4.0,0.6,1.0,1.0,3.0,1.0,-0.2,-0.2,0.0,6.0,1.0,2.0,0.0,3.0,1.0
33,SC0,25/09/10,Hearts,Motherwell,0,2,0,0,6,14,1,11,2,1,0,0,A,0.6,0.35,0.2,8.0,1.8,2.0,2.0,1.0,1.0,0.2,-0.04999999999999999,0.2,7.0,1.2,2.0,1.0,2.0,2.0
34,SC0,25/09/10,St Mirren,Inverness C,1,2,0,1,8,10,4,3,1,2,0,0,A,-1.0,0.0,0.2,4.0,0.8,1.0,1.0,3.0,1.0,0.0,-0.5,0.0,4.0,1.2,1.0,1.0,3.0,1.0
35,SC0,26/09/10,Aberdeen,Rangers,2,3,2,1,6,13,4,8,2,1,1,0,A,0.4,-0.09999999999999998,0.0,7.0,1.4,2.0,1.0,2.0,2.0,2.0,0.5,0.2,15.0,2.6,5.0,0.0,0.0,2.0
36,SC0,02/10/10,Celtic,Hamilton,3,1,1,1,15,8,7,6,1,1,0,0,H,1.8333333333333333,-0.16666666666666674,0.0,18.0,2.1666666666666665,6.0,0.0,0.0,4.0,-1.3333333333333333,0.26666666666666683,0.16666666666666666,5.0,0.8333333333333334,1.0,2.0,3.0,1.0
37,SC0,02/10/10,Hearts,Rangers,1,2,1,0,9,20,6,12,5,1,0,0,A,0.16666666666666666,-0.43333333333333335,0.16666666666666666,8.0,1.5,2.0,2.0,2.0,1.0,1.8333333333333333,-0.16666666666666674,0.16666666666666666,18.0,2.6666666666666665,6.0,0.0,0.0,2.0
38,SC0,02/10/10,Inverness C,Aberdeen,2,0,1,0,8,7,3,2,1,3,0,0,H,0.16666666666666666,0.16666666666666666,0.0,7.0,1.3333333333333333,2.0,1.0,3.0,1.0,0.16666666666666666,-0.23333333333333336,0.16666666666666666,7.0,1.5,2.0,1.0,3.0,2.0
39,SC0,02/10/10,Kilmarnock,Dundee United,1,2,0,1,20,13,9,11,1,3,1,0,A,-0.16666666666666666,0.033333333333333354,0.0,7.0,1.1666666666666667,2.0,1.0,3.0,1.0,-0.8333333333333334,0.3666666666666666,0.0,8.0,1.0,2.0,2.0,2.0,1.0
40,SC0,02/10/10,Motherwell,St Mirren,3,1,1,0,12,11,10,4,1,4,0,0,H,0.5,0.3,0.16666666666666666,10.0,1.3333333333333333,3.0,1.0,2.0,3.0,-1.0,0.0,0.16666666666666666,4.0,0.8333333333333334,1.0,1.0,4.0,1.0
41,SC0,02/10/10,St Johnstone,Hibernian,2,0,0,0,13,8,5,2,0,2,0,0,H,-0.6666666666666666,-0.06666666666666665,0.16666666666666666,4.0,0.6666666666666666,1.0,1.0,4.0,0.0,-0.6666666666666666,-0.06666666666666665,0.16666666666666666,5.0,1.0,1.0,2.0,3.0,0.0
42,SC0,16/10/10,Aberdeen,Hearts,0,1,0,0,5,14,2,6,3,4,0,0,A,-0.14285714285714285,-0.30952380952380953,0.14285714285714285,7.0,1.2857142857142858,2.0,1.0,4.0,2.0,0.0,-0.16666666666666666,0.14285714285714285,8.0,1.4285714285714286,2.0,2.0,3.0,1.0
43,SC0,16/10/10,Hibernian,Kilmarnock,2,1,2,1,5,8,3,3,1,1,0,0,H,-0.8571428571428571,-0.19047619047619047,0.14285714285714285,5.0,0.8571428571428571,1.0,2.0,4.0,0.0,-0.2857142857142857,-0.11904761904761904,0.14285714285714285,7.0,1.1428571428571428,2.0,1.0,4.0,1.0
44,SC0,16/10/10,Inverness C,St Johnstone,1,1,0,1,9,8,6,2,2,3,0,0,D,0.42857142857142855,0.26190476190476186,0.0,10.0,1.4285714285714286,3.0,1.0,3.0,2.0,-0.2857142857142857,0.38095238095238093,0.14285714285714285,7.0,0.8571428571428571,2.0,1.0,4.0,1.0
45,SC0,16/10/10,Rangers,Motherwell,4,1,0,1,17,11,8,4,2,1,0,0,H,1.7142857142857142,-0.11904761904761907,0.14285714285714285,21.0,2.5714285714285716,7.0,0.0,0.0,2.0,0.7142857142857143,0.2142857142857143,0.14285714285714285,13.0,1.5714285714285714,4.0,1.0,2.0,3.0
46,SC0,16/10/10,St Mirren,Hamilton,2,2,0,1,3,5,3,4,5,3,0,0,D,-1.1428571428571428,-0.1428571428571428,0.14285714285714285,4.0,0.8571428571428571,1.0,1.0,5.0,1.0,-1.4285714285714286,-0.09523809523809534,0.14285714285714285,5.0,0.8571428571428571,1.0,2.0,4.0,1.0
47,SC0,17/10/10,Dundee United,Celtic,1,2,1,1,12,25,8,14,4,4,0,0,A,-0.5714285714285714,0.261904761904762,0.0,11.0,1.1428571428571428,3.0,2.0,2.0,1.0,1.8571428571428572,0.023809523809523947,0.0,21.0,2.2857142857142856,7.0,0.0,0.0,4.0
48,SC0,23/10/10,Aberdeen,Hibernian,4,2,2,0,6,14,4,8,0,2,0,0,H,-0.25,-0.10714285714285715,0.125,7.0,1.125,2.0,1.0,5.0,2.0,-0.625,0.2321428571428571,0.125,8.0,1.0,2.0,2.0,4.0,0.0
49,SC0,23/10/10,Hamilton,St Johnstone,1,2,0,1,4,4,3,2,3,3,0,0,A,-1.25,0.1785714285714286,0.125,6.0,1.0,1.0,3.0,4.0,1.0,-0.25,0.0357142857142857,0.125,8.0,0.875,2.0,2.0,4.0,1.0
50,SC0,23/10/10,Hearts,St Mirren,3,0,2,0,9,5,5,3,0,2,0,0,H,0.125,0.125,0.125,11.0,1.375,3.0,2.0,3.0,2.0,-1.0,0.1428571428571428,0.125,5.0,1.0,1.0,2.0,5.0,1.0
51,SC0,23/10/10,Kilmarnock,Inverness C,1,2,0,1,11,8,6,5,3,2,0,0,A,-0.375,-0.0892857142857143,0.125,7.0,1.125,2.0,1.0,5.0,1.0,0.375,-0.05357142857142855,0.0,11.0,1.375,3.0,2.0,3.0,2.0
52,SC0,23/10/10,Motherwell,Dundee United,2,1,1,0,10,1,5,0,2,2,0,0,H,0.25,-0.4642857142857143,0.125,13.0,1.5,4.0,1.0,3.0,3.0,-0.625,-0.0535714285714286,0.0,11.0,1.125,3.0,2.0,3.0,1.0
53,SC0,24/10/10,Celtic,Rangers,1,3,1,0,15,7,7,4,3,2,0,0,A,1.75,-0.1071428571428572,0.0,24.0,2.25,8.0,0.0,0.0,4.0,1.875,0.1607142857142858,0.125,24.0,2.75,8.0,0.0,0.0,2.0
