,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR,Gol_Average_Home,Dif_Home,Rojas_Home,Puntos_Home,Goles_Marcados_Home,Victorias_Home,Empates_Home,Derrotas_Home,Porterias_0_Home,Gol_Average_Away,Dif_Away,Rojas_Away,Puntos_Away,Goles_Marcados_Away,Victorias_Away,Empates_Away,Derrotas_Away,Porterias_0_Away
0,D1,05/08/11,Dortmund,Hamburg,3,1,2,0,16,8,5,3,1,3,0,0,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D1,06/08/11,Augsburg,Freiburg,2,2,0,0,11,9,7,4,2,4,0,0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,D1,06/08/11,FC Koln,Wolfsburg,0,3,0,1,7,17,1,8,0,5,1,0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,D1,06/08/11,Hannover,Hoffenheim,2,1,2,1,7,12,4,5,2,2,0,0,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,D1,06/08/11,Hertha,Nurnberg,0,1,0,0,4,13,0,7,2,3,0,0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,D1,06/08/11,Stuttgart,Schalke 04,3,0,1,0,12,15,6,9,1,1,0,0,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,D1,06/08/11,Werder Bremen,Kaiserslautern,2,0,0,0,19,9,5,3,1,2,0,0,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,D1,07/08/11,Bayern Munich,M'gladbach,0,1,0,0,19,7,7,3,0,1,0,0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,D1,07/08/11,Mainz,Leverkusen,2,0,1,0,22,9,8,2,3,1,0,0,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,D1,13/08/11,Freiburg,Mainz,1,2,0,0,18,9,7,4,0,2,0,0,A,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0
10,D1,13/08/11,Hamburg,Hertha,2,2,1,1,9,24,4,6,3,3,0,0,D,-2.0,-2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,D1,13/08/11,Hoffenheim,Dortmund,1,0,1,0,13,15,3,4,4,1,0,0,H,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0
12,D1,13/08/11,M'gladbach,Stuttgart,1,1,0,0,10,15,3,7,2,2,1,0,D,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0
13,D1,13/08/11,Nurnberg,Hannover,1,2,0,2,13,4,5,3,2,3,0,0,A,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0
14,D1,13/08/11,Schalke 04,FC Koln,5,1,1,1,18,6,5,2,0,3,0,0,H,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.0,-3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
15,D1,13/08/11,Wolfsburg,Bayern Munich,0,1,0,0,7,11,1,3,0,3,0,0,A,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,D1,14/08/11,Kaiserslautern,Augsburg,1,1,0,1,17,13,7,4,4,1,0,0,D,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
17,D1,14/08/11,Leverkusen,Werder Bremen,1,0,0,0,16,9,6,1,1,2,0,0,H,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0
18,D1,19/08/11,M'gladbach,Wolfsburg,4,1,3,1,21,7,9,3,1,2,0,0,H,0.5,-0.5,0.5,4.0,1.0,1.0,1.0,0.0,1.0,1.0,-2.0,0.0,3.0,1.5,1.0,0.0,1.0,1.0
19,D1,20/08/11,Augsburg,Hoffenheim,0,2,0,1,12,17,4,5,1,1,0,0,A,0.0,0.0,0.0,2.0,1.5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0
20,D1,20/08/11,Bayern Munich,Hamburg,5,0,3,0,24,4,13,1,2,4,0,0,H,0.0,1.0,0.0,3.0,0.5,1.0,0.0,1.0,1.0,-1.0,1.0,0.0,1.0,1.5,0.0,1.0,1.0,0.0
21,D1,20/08/11,Dortmund,Nurnberg,2,0,0,0,12,10,5,3,0,2,0,0,H,0.5,-1.5,0.0,3.0,1.5,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0
22,D1,20/08/11,FC Koln,Kaiserslautern,1,1,1,1,10,8,5,3,3,4,0,0,D,-3.5,-0.5,0.5,0.0,0.5,0.0,0.0,2.0,0.0,-1.0,1.0,0.0,1.0,0.5,0.0,1.0,1.0,0.0
23,D1,20/08/11,Stuttgart,Leverkusen,0,1,0,1,11,11,0,3,1,0,1,0,A,1.5,-1.5,0.0,4.0,2.0,1.0,1.0,0.0,1.0,-0.5,1.5,0.0,3.0,0.5,1.0,0.0,1.0,1.0
24,D1,20/08/11,Werder Bremen,Freiburg,5,3,2,1,26,11,8,7,1,4,0,0,H,0.5,-1.5,0.0,3.0,1.0,1.0,0.0,1.0,1.0,-0.5,-0.5,0.0,1.0,1.5,0.0,1.0,1.0,0.0
25,D1,21/08/11,Hannover,Hertha,1,1,1,0,14,10,6,4,1,6,0,0,D,1.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,-0.5,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0
26,D1,21/08/11,Mainz,Schalke 04,2,4,2,0,15,12,5,6,0,2,0,0,A,1.5,-0.5,0.0,6.0,2.0,2.0,0.0,0.0,1.0,0.5,3.5,0.0,3.0,2.5,1.0,0.0,1.0,0.0
27,D1,26/08/11,Hertha,Stuttgart,1,0,0,0,16,22,5,5,0,1,0,0,H,-0.3333333333333333,0.16666666666666669,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.6666666666666666,-0.8333333333333334,0.3333333333333333,4.0,1.3333333333333333,1.0,1.0,1.0,1.0
28,D1,27/08/11,Freiburg,Wolfsburg,3,0,2,0,15,14,4,4,0,2,0,0,H,-1.0,-0.5,0.0,1.0,2.0,0.0,1.0,2.0,0.0,-0.3333333333333333,-1.3333333333333333,0.0,3.0,1.3333333333333333,1.0,0.0,2.0,1.0
