,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR,Gol_Average_Home,Dif_Home,Rojas_Home,Puntos_Home,Goles_Marcados_Home,Gol_Average_Away,Dif_Away,Rojas_Away,Puntos_Away,Goles_Marcados_Away
30,SP1,01/09/2023,Cadiz,Villarreal,3,1,2,1,18,7,4,3,5,4,0,1,H,-0.3333333333333333,0.16666666666666669,0.6666666666666666,4.0,0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0.0,3.0,1.6666666666666667
31,SP1,01/09/2023,Almeria,Celta,2,3,0,2,16,14,5,8,1,1,0,0,A,-1.3333333333333333,0.6666666666666667,0.3333333333333333,1.0,0.6666666666666666,-1.0,0.0,0.0,1.0,0.3333333333333333
32,SP1,02/09/2023,Sociedad,Granada,5,3,2,1,15,8,6,5,1,5,0,0,H,0.0,0.0,0.0,3.0,0.6666666666666666,-1.0,1.0,0.3333333333333333,3.0,1.3333333333333333
33,SP1,02/09/2023,Real Madrid,Getafe,2,1,0,1,26,6,12,2,2,6,0,0,H,1.6666666666666667,-0.33333333333333326,0.0,9.0,2.0,-0.6666666666666666,0.8333333333333334,0.3333333333333333,4.0,0.3333333333333333
34,SP1,02/09/2023,Alaves,Valencia,1,0,1,0,7,9,1,4,4,2,0,0,H,-0.3333333333333333,-0.3333333333333333,0.0,3.0,1.3333333333333333,0.3333333333333333,-0.6666666666666667,0.0,6.0,1.3333333333333333
35,SP1,02/09/2023,Betis,Vallecano,1,0,0,0,14,15,5,6,3,5,0,0,H,-0.3333333333333333,-0.8333333333333333,0.0,4.0,1.3333333333333333,-1.0,-3.0,0.0,6.0,1.3333333333333333
36,SP1,03/09/2023,Girona,Las Palmas,1,0,0,0,11,10,6,5,3,3,0,0,H,1.3333333333333333,-0.16666666666666674,0.0,7.0,2.0,-0.3333333333333333,0.16666666666666669,0.0,2.0,0.3333333333333333
37,SP1,03/09/2023,Mallorca,Ath Bilbao,0,0,0,0,8,11,2,3,0,1,0,0,D,-0.6666666666666666,-0.16666666666666663,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,6.0,2.0
38,SP1,03/09/2023,Osasuna,Barcelona,1,2,0,1,11,9,3,4,1,3,1,0,A,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0,1.3333333333333333,1.0,0.0,0.3333333333333333,7.0,2.0
39,SP1,15/09/2023,Vallecano,Alaves,2,0,1,0,20,9,11,1,2,3,0,0,H,-1.0,0.0,0.0,6.0,1.0,0.0,0.3333333333333333,0.0,6.0,1.25
40,SP1,16/09/2023,Ath Bilbao,Cadiz,3,0,0,0,20,5,9,4,1,4,0,0,H,0.5,-0.16666666666666663,0.25,7.0,1.5,0.25,0.5833333333333333,0.5,7.0,1.25
41,SP1,16/09/2023,Valencia,Ath Madrid,3,0,2,0,12,11,8,3,1,5,0,0,H,0.0,-0.3333333333333333,0.0,6.0,1.0,3.0,2.0,0.0,7.0,3.3333333333333335
42,SP1,16/09/2023,Celta,Mallorca,0,1,0,0,16,7,4,4,1,3,0,0,A,-0.5,0.5,0.0,4.0,1.0,-0.5,0.16666666666666663,0.0,2.0,0.75
43,SP1,16/09/2023,Barcelona,Betis,5,0,2,0,17,11,9,2,1,2,0,0,H,1.0,0.0,0.25,10.0,2.0,0.0,0.3333333333333333,0.0,7.0,1.25
44,SP1,17/09/2023,Getafe,Osasuna,3,2,1,1,11,8,6,3,6,2,0,0,H,-0.75,-0.08333333333333337,0.25,4.0,0.5,0.0,-0.3333333333333333,0.5,6.0,1.25
45,SP1,17/09/2023,Villarreal,Almeria,2,1,1,1,10,17,4,7,2,3,0,0,H,-0.75,-0.4166666666666667,0.25,3.0,1.5,-1.25,0.08333333333333326,0.25,1.0,1.0
46,SP1,17/09/2023,Sevilla,Las Palmas,1,0,0,0,26,12,9,2,3,5,0,0,H,-1.0,0.0,0.3333333333333333,0.0,1.6666666666666667,-0.5,-0.16666666666666669,0.0,2.0,0.25
47,SP1,17/09/2023,Real Madrid,Sociedad,2,1,0,1,17,15,8,5,3,2,0,0,H,1.5,-0.16666666666666674,0.0,12.0,2.0,0.5,0.5,0.0,6.0,1.75
48,SP1,18/09/2023,Granada,Girona,2,4,0,3,12,13,5,7,3,3,0,0,A,-1.25,-0.25,0.25,3.0,1.75,1.25,-0.08333333333333326,0.0,10.0,1.75
49,SP1,22/09/2023,Alaves,Ath Bilbao,0,2,0,1,15,11,5,3,2,2,0,0,A,-0.4,-0.4,0.0,6.0,1.0,1.0,0.5,0.2,10.0,1.8
50,SP1,23/09/2023,Girona,Mallorca,5,3,4,1,23,15,10,5,1,5,0,0,H,1.4,0.1499999999999999,0.0,13.0,2.2,-0.2,0.3,0.0,5.0,0.8
51,SP1,23/09/2023,Osasuna,Sevilla,0,0,0,0,16,15,2,3,2,3,0,0,D,-0.2,-0.2,0.4,6.0,1.4,-0.5,0.5,0.25,3.0,1.5
52,SP1,23/09/2023,Barcelona,Celta,3,2,0,1,15,13,6,7,2,1,0,0,H,1.8,0.8,0.2,13.0,2.6,-0.6,-0.09999999999999998,0.0,4.0,0.8
53,SP1,23/09/2023,Almeria,Valencia,2,2,0,1,17,7,10,5,4,2,0,0,D,-1.2,0.050000000000000044,0.2,1.0,1.0,0.6,0.6,0.0,9.0,1.4
54,SP1,24/09/2023,Sociedad,Getafe,4,3,1,2,10,10,6,7,3,2,0,0,H,0.2,-0.3,0.0,6.0,1.6,-0.4,0.35,0.2,7.0,1.0
55,SP1,24/09/2023,Vallecano,Villarreal,1,1,1,1,11,13,6,6,2,3,0,1,D,-0.4,0.6,0.0,9.0,1.2,-0.4,0.35,0.2,6.0,1.6
56,SP1,24/09/2023,Betis,Cadiz,1,1,0,1,21,5,7,1,2,3,0,0,D,-1.0,-1.0,0.0,7.0,1.0,-0.4,-0.65,0.4,7.0,1.0
57,SP1,24/09/2023,Las Palmas,Granada,1,0,0,0,10,2,3,1,6,4,1,0,H,-0.6,-0.09999999999999998,0.0,2.0,0.2,-1.4,-0.1499999999999999,0.2,3.0,1.8
58,SP1,24/09/2023,Ath Madrid,Real Madrid,3,1,2,1,10,20,4,5,1,3,0,0,H,1.5,-1.5,0.0,7.0,2.5,1.4,-0.10000000000000009,0.0,15.0,2.0
59,SP1,26/09/2023,Sevilla,Almeria,5,1,3,0,18,10,9,1,3,2,0,0,H,-0.4,0.09999999999999998,0.2,4.0,1.2,-1.0,0.19999999999999996,0.16666666666666666,2.0,1.1666666666666667
60,SP1,26/09/2023,Mallorca,Barcelona,2,2,2,1,10,10,5,4,4,1,1,0,D,-0.5,-0.3,0.0,5.0,1.1666666666666667,1.6666666666666667,-0.1333333333333333,0.16666666666666666,16.0,2.6666666666666665
61,SP1,27/09/2023,Ath Bilbao,Getafe,2,2,1,0,9,13,4,5,5,6,1,0,D,1.1666666666666667,0.16666666666666674,0.16666666666666666,13.0,1.8333333333333333,-0.5,-0.09999999999999998,0.16666666666666666,7.0,1.3333333333333333
62,SP1,27/09/2023,Real Madrid,Las Palmas,2,0,1,0,21,16,9,2,0,1,0,0,H,0.8333333333333334,-0.5666666666666665,0.0,15.0,1.8333333333333333,-0.3333333333333333,0.26666666666666666,0.16666666666666666,5.0,0.3333333333333333
63,SP1,27/09/2023,Villarreal,Girona,1,2,0,0,14,17,3,5,3,2,0,0,A,-0.3333333333333333,0.06666666666666671,0.3333333333333333,7.0,1.5,1.5,0.10000000000000009,0.0,16.0,2.6666666666666665
64,SP1,27/09/2023,Cadiz,Vallecano,0,0,0,0,9,9,2,4,5,6,0,1,D,-0.3333333333333333,0.06666666666666671,0.3333333333333333,8.0,1.0,-0.3333333333333333,0.06666666666666671,0.0,10.0,1.1666666666666667
65,SP1,27/09/2023,Valencia,Sociedad,0,1,0,1,9,2,2,1,4,7,1,0,A,0.5,-0.09999999999999998,0.0,10.0,1.5,0.3333333333333333,0.1333333333333333,0.0,9.0,2.0
