Tournament,Date,Series,Court,Surface,Round,P,S,PRank,SRank,PPts,SPts,P1,S1,P2,S2,P3,S3,P4,S4,P5,S5,Psets,Ssets,Gana_P
Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,Melzer J.,Ginepri R.,55.0,18.0,675.0,1495.0,1.0,6.0,4.0,6.0,2.0,6.0,,,,,0.0,3.0,0.0
Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,Gaudio G.,Sabau R.,10.0,107.0,2050.0,397.0,6.0,2.0,5.0,0.0,,,,,,,1.0,0.0,1.0
Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,Serra F.,Ferrer D.,37.0,14.0,863.0,1635.0,6.0,4.0,3.0,6.0,1.0,6.0,4.0,6.0,,,1.0,3.0,0.0
Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,Schuettler R.,Burgsmuller L.,87.0,143.0,463.0,295.0,6.0,3.0,3.0,6.0,6.0,7.0,3.0,6.0,,,1.0,3.0,0.0
Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,Bracciali D.,Lu Y.H.,80.0,161.0,498.0,256.0,6.0,1.0,7.0,6.0,6.0,2.0,,,,,3.0,0.0,1.0
Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,Vicente F.,Hernych J.,106.0,90.0,400.0,455.0,6.0,2.0,3.0,6.0,6.0,7.0,2.0,6.0,,,1.0,3.0,0.0
Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,Stepanek R.,Rehnquist B.,20.0,368.0,1440.0,83.0,6.0,1.0,6.0,2.0,6.0,2.0,,,,,3.0,0.0,1.0
Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,Bjorkman J.,Gremelmayr D.,66.0,177.0,578.0,218.0,6.0,3.0,2.0,6.0,0.0,6.0,1.0,6.0,,,1.0,3.0,0.0
Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,Udomchoke D.,Nalbandian D.,121.0,4.0,370.0,2370.0,2.0,6.0,2.0,6.0,6.0,1.0,7.0,6.0,1.0,6.0,2.0,3.0,0.0
Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,Montanes A.,Wawrinka S.,72.0,46.0,536.0,735.0,6.0,4.0,2.0,6.0,3.0,6.0,0.0,6.0,,,1.0,3.0,0.0
Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,Gimelstob J.,Baghdatis M.,115.0,54.0,383.0,684.0,6.0,7.0,5.0,7.0,0.0,6.0,,,,,0.0,3.0,0.0
Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,Nieminen J.,Kimmich M.,24.0,313.0,1230.0,103.0,6.0,2.0,6.0,3.0,6.0,1.0,,,,,3.0,0.0,1.0
Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,Calleri A.,Ancic M.,52.0,21.0,692.0,1390.0,4.0,6.0,6.0,4.0,3.0,6.0,4.0,6.0,,,1.0,3.0,0.0
Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,Pavel A.,Moya C.,82.0,35.0,485.0,885.0,6.0,4.0,7.0,6.0,4.0,6.0,3.0,6.0,6.0,4.0,3.0,2.0,1.0
Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,Wang Y.T.,Zabaleta M.,98.0,83.0,423.0,481.0,6.0,2.0,7.0,5.0,4.0,1.0,,,,,2.0,0.0,1.0
Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,Moodie W.,Hernandez O.,60.0,113.0,603.0,385.0,3.0,6.0,7.0,6.0,6.0,4.0,6.0,2.0,,,3.0,1.0,1.0
Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,Waske A.,Faurel J.C.,122.0,203.0,368.0,183.0,6.0,7.0,3.0,6.0,6.0,7.0,,,,,0.0,3.0,0.0
Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,Garcia-Lopez G.,Dent T.,110.0,31.0,393.0,920.0,7.0,6.0,6.0,3.0,7.0,6.0,,,,,3.0,0.0,1.0
Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,Dlouhy L.,Kohlschreiber P.,96.0,79.0,428.0,500.0,5.0,7.0,2.0,6.0,4.0,6.0,,,,,0.0,3.0,0.0
Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,Ljubicic I.,Guccione C.,8.0,148.0,2180.0,283.0,7.0,6.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,1.0
Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,Reynolds B.,Berdych T.,92.0,23.0,442.0,1250.0,5.0,7.0,3.0,6.0,7.0,6.0,1.0,6.0,,,1.0,3.0,0.0
