Tournament,Date,Series,Court,Surface,Round,P,S,PRank,SRank,PPts,SPts,P1,S1,P2,S2,P3,S3,P4,S4,P5,S5,Psets,Ssets,Gana_P
French Open,27/05/07,Grand Slam,Outdoor,Clay,1st Round,Safin M.,Vicente F.,25.0,133.0,1095.0,324.0,6.0,1.0,6.0,3.0,6.0,1.0,,,,,3.0,0.0,1.0
French Open,27/05/07,Grand Slam,Outdoor,Clay,1st Round,Minar I.,Starace P.,211.0,57.0,192.0,619.0,6.0,4.0,1.0,6.0,4.0,6.0,6.0,7.0,,,1.0,3.0,0.0
French Open,27/05/07,Grand Slam,Outdoor,Clay,1st Round,Vemic D.,Tipsarevic J.,239.0,80.0,160.0,501.0,6.0,7.0,4.0,6.0,6.0,4.0,3.0,6.0,,,1.0,3.0,0.0
French Open,28/05/07,Grand Slam,Outdoor,Clay,1st Round,Davydenko N.,Galvani S.,4.0,117.0,2840.0,352.0,6.0,3.0,6.0,1.0,6.0,1.0,,,,,3.0,0.0,1.0
French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,Cilic M.,Ascione T.,113.0,168.0,364.0,257.0,2.0,6.0,2.0,6.0,1.0,6.0,,,,,0.0,3.0,0.0
French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,Bolelli S.,Verkerk M.,75.0,717.0,538.0,21.0,6.0,1.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,1.0
French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,Hanescu V.,Canas G.,425.0,22.0,70.0,1272.0,3.0,6.0,1.0,6.0,4.0,6.0,,,,,0.0,3.0,0.0
French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,Melzer J.,Acasuso J.,30.0,46.0,920.0,735.0,6.0,4.0,7.0,5.0,6.0,4.0,,,,,3.0,0.0,1.0
French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,Monaco J.,Fognini F.,35.0,191.0,860.0,214.0,3.0,6.0,2.0,6.0,6.0,1.0,6.0,2.0,6.0,4.0,2.0,2.0,1.0
French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,Berlocq C.,Benneteau J.,97.0,36.0,424.0,835.0,6.0,7.0,7.0,5.0,6.0,2.0,6.0,3.0,,,3.0,1.0,1.0
French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,Ramirez-Hidalgo R.,Wawrinka S.,63.0,44.0,590.0,740.0,6.0,0.0,7.0,5.0,2.0,6.0,5.0,7.0,4.0,6.0,2.0,3.0,0.0
French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,Hernych J.,Youzhny M.,92.0,15.0,454.0,1685.0,,,,,,,,,,,0.0,0.0,0.0
French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,Peya A.,Lapentti N.,98.0,65.0,423.0,568.0,1.0,6.0,4.0,6.0,1.0,2.0,,,,,0.0,2.0,0.0
French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,Koubek S.,Rochus C.,70.0,179.0,552.0,235.0,6.0,7.0,7.0,6.0,6.0,4.0,1.0,2.0,,,2.0,1.0,1.0
French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,Clement A.,Ljubicic I.,45.0,7.0,740.0,2260.0,1.0,6.0,5.0,7.0,6.0,7.0,,,,,0.0,3.0,0.0
French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,Eschauer W.,Sidorenko A.,93.0,304.0,442.0,115.0,6.0,3.0,3.0,6.0,6.0,3.0,5.0,4.0,,,2.0,1.0,1.0
French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,Russell M.,Federer R.,68.0,1.0,557.0,7515.0,4.0,6.0,2.0,6.0,4.0,6.0,,,,,0.0,3.0,0.0
