Tournament,Date,Series,Court,Surface,Round,P,S,PRank,SRank,PPts,SPts,P1,S1,P2,S2,P3,S3,P4,S4,P5,S5,Psets,Ssets,Gana_P
Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Almagro N.,Johnson S.,11.0,175.0,2515.0,302.0,7.0,5.0,6.0,7.0,6.0,2.0,6.0,7.0,6.0,2.0,3.0,2.0,1.0
Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Hanescu V.,Nishikori K.,63.0,18.0,753.0,1870.0,7.0,6.0,3.0,6.0,1.0,6.0,3.0,6.0,,,1.0,3.0,0.0
Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Rufin G.,Reister J.,92.0,296.0,574.0,153.0,4.0,6.0,7.0,6.0,6.0,1.0,6.0,2.0,,,3.0,1.0,1.0
Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Berlocq C.,Authom M.,68.0,156.0,720.0,351.0,1.0,6.0,7.0,6.0,7.0,6.0,6.0,2.0,,,3.0,1.0,1.0
Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Benneteau J.,Dimitrov G.,38.0,41.0,1015.0,1008.0,6.0,4.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,1.0
Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Kubot L.,Gimeno-Traver D.,76.0,71.0,675.0,704.0,7.0,6.0,4.0,6.0,0.0,6.0,6.0,4.0,4.0,6.0,2.0,3.0,0.0
Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Bemelmans R.,Roger-Vasselin E.,114.0,101.0,486.0,539.0,3.0,6.0,7.0,6.0,6.0,2.0,5.0,7.0,9.0,11.0,2.0,3.0,0.0
Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Andujar P.,Malisse X.,45.0,55.0,915.0,791.0,3.0,6.0,1.0,6.0,2.0,6.0,,,,,0.0,3.0,0.0
Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Verdasco F.,Goffin D.,24.0,49.0,1445.0,843.0,6.0,3.0,3.0,6.0,4.0,6.0,6.0,3.0,6.0,4.0,3.0,2.0,1.0
Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Stebe C.M.,Wawrinka S.,164.0,17.0,327.0,1900.0,2.0,6.0,4.0,6.0,3.0,6.0,,,,,0.0,3.0,0.0
Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Giraldo S.,Harrison R.,64.0,62.0,743.0,754.0,6.0,2.0,4.0,6.0,5.0,7.0,4.0,6.0,,,1.0,3.0,0.0
Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Donskoy E.,Ungur A.,82.0,99.0,637.0,557.0,6.0,4.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,1.0
Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Russell M.,Berdych T.,94.0,6.0,569.0,4680.0,3.0,6.0,5.0,7.0,3.0,6.0,,,,,0.0,3.0,0.0
Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Djokovic N.,Mathieu P.H.,1.0,60.0,12920.0,763.0,6.0,2.0,6.0,4.0,7.0,5.0,,,,,3.0,0.0,1.0
Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Youzhny M.,Ebden M.,25.0,108.0,1335.0,509.0,4.0,6.0,6.0,7.0,6.0,2.0,7.0,6.0,6.0,3.0,3.0,2.0,1.0
Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Kukushkin M.,Melzer J.,105.0,29.0,526.0,1177.0,1.0,6.0,1.0,6.0,2.0,6.0,,,,,0.0,3.0,0.0
Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Kamke T.,Cipolla F.,90.0,95.0,577.0,568.0,6.0,1.0,6.0,4.0,6.0,1.0,,,,,3.0,0.0,1.0
Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Baker B.,Bogomolov A.,57.0,133.0,776.0,422.0,7.0,6.0,6.0,3.0,6.0,7.0,3.0,6.0,6.0,2.0,3.0,2.0,1.0
Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Karlovic I.,Smyczek T.,103.0,125.0,536.0,448.0,4.0,6.0,6.0,7.0,5.0,7.0,,,,,0.0,3.0,0.0
Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Devvarman S.,Phau B.,551.0,78.0,52.0,672.0,6.0,3.0,6.0,2.0,6.0,3.0,,,,,3.0,0.0,1.0
Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Monaco J.,Kuznetsov An.,12.0,79.0,2430.0,660.0,6.0,7.0,1.0,6.0,1.0,6.0,,,,,0.0,3.0,0.0
Australian Open,14/01/13,Grand Slam,Outdoor,Hard,1st Round,Brugues-Davi A.,Lopez F.,198.0,42.0,241.0,1005.0,3.0,6.0,2.0,6.0,4.0,6.0,,,,,0.0,3.0,0.0
