Tournament,Date,Series,Court,Surface,Round,P,S,PRank,SRank,PPts,SPts,P1,S1,P2,S2,P3,S3,P4,S4,P5,S5,Psets,Ssets,Gana_P
French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Barrere G.,Albot R.,197.0,97.0,303.0,634.0,6.0,4.0,6.0,0.0,5.0,7.0,1.0,6.0,2.0,6.0,2.0,3.0,0.0
French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Dzumhur D.,Kudla D.,29.0,113.0,1415.0,471.0,6.0,4.0,6.0,2.0,6.0,2.0,,,,,3.0,0.0,1.0
French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Dimitrov G.,Safwat M.,5.0,182.0,4870.0,320.0,6.0,1.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,1.0
French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Donaldson J.,Jarry N.,57.0,61.0,910.0,888.0,6.0,3.0,4.0,6.0,3.0,6.0,6.0,3.0,6.0,4.0,3.0,2.0,1.0
French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Monfils G.,Benchetrit E.,37.0,306.0,1220.0,166.0,3.0,6.0,6.0,1.0,6.0,2.0,6.0,1.0,,,3.0,1.0,1.0
French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Klizan M.,Djere L.,117.0,101.0,463.0,596.0,7.0,6.0,4.0,6.0,7.0,6.0,6.0,1.0,,,3.0,1.0,1.0
French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Carreno Busta P.,Kovalik J.,11.0,146.0,2415.0,383.0,4.0,6.0,6.0,1.0,7.0,5.0,7.0,6.0,,,3.0,1.0,1.0
French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Nishikori K.,Janvier M.,21.0,307.0,1710.0,165.0,7.0,6.0,6.0,4.0,6.0,3.0,,,,,3.0,0.0,1.0
French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Moutet C.,Karlovic I.,141.0,92.0,398.0,665.0,7.0,6.0,6.0,2.0,7.0,6.0,,,,,3.0,0.0,1.0
French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,Nishioka Y.,Verdasco F.,266.0,35.0,207.0,1280.0,7.0,6.0,4.0,6.0,3.0,6.0,7.0,6.0,5.0,7.0,2.0,3.0,0.0
