Tournament,Date,Series,Court,Surface,Round,P,S,PRank,SRank,PPts,SPts,P1,S1,P2,S2,P3,S3,P4,S4,P5,S5,Psets,Ssets,Gana_P
French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,Duckworth J.,Kavcic B.,185.0,104.0,273.0,529.0,2.0,6.0,2.0,6.0,2.0,6.0,,,,,0.0,3.0,0.0
French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,Anderson K.,Marchenko I.,25.0,120.0,1420.0,447.0,6.0,3.0,7.0,5.0,6.0,4.0,,,,,3.0,0.0,1.0
French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,Soeda G.,Sousa J.,124.0,119.0,435.0,447.0,1.0,6.0,3.0,6.0,2.0,6.0,,,,,0.0,3.0,0.0
French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,Raonic M.,Malisse X.,16.0,56.0,2225.0,805.0,6.0,2.0,6.0,1.0,4.0,6.0,6.0,4.0,,,3.0,1.0,1.0
French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,Simon G.,Hewitt L.,18.0,86.0,1895.0,610.0,3.0,6.0,1.0,6.0,6.0,4.0,6.0,1.0,7.0,5.0,3.0,2.0,1.0
French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,Bautista R.,Muller G.,68.0,84.0,714.0,623.0,6.0,3.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,1.0
French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,Mayer L.,Seppi A.,73.0,22.0,682.0,1530.0,7.0,6.0,4.0,6.0,3.0,6.0,7.0,6.0,4.0,6.0,2.0,3.0,0.0
French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,Federer R.,Carreno-Busta P.,3.0,164.0,8000.0,316.0,6.0,2.0,6.0,2.0,6.0,3.0,,,,,3.0,0.0,1.0
French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,Lacko L.,Querrey S.,77.0,20.0,667.0,1730.0,3.0,6.0,4.0,6.0,4.0,6.0,,,,,0.0,3.0,0.0
French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,Kudla D.,Hajek J.,116.0,87.0,466.0,605.0,2.0,6.0,7.0,5.0,0.0,6.0,4.0,6.0,,,1.0,3.0,0.0
French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,Devvarman S.,Munoz-De La Nava D.,188.0,145.0,269.0,367.0,6.0,3.0,6.0,3.0,7.0,5.0,,,,,3.0,0.0,1.0
French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,Becker B.,Chardy J.,97.0,27.0,568.0,1371.0,4.0,6.0,2.0,6.0,5.0,7.0,,,,,0.0,3.0,0.0
French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,Ferrer D.,Matosevic M.,5.0,63.0,6740.0,761.0,6.0,4.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,1.0
French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,Darcis S.,Llodra M.,112.0,55.0,492.0,814.0,4.0,6.0,6.0,4.0,1.0,6.0,4.0,6.0,,,1.0,3.0,0.0
French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,Blake J.,Troicki V.,96.0,57.0,571.0,800.0,4.0,6.0,2.0,6.0,2.0,6.0,,,,,0.0,3.0,0.0
French Open,27/05/13,Grand Slam,Outdoor,Clay,1st Round,Kamke T.,Lorenzi P.,72.0,70.0,686.0,701.0,6.0,3.0,6.0,3.0,3.0,6.0,0.0,6.0,6.0,3.0,3.0,2.0,1.0
French Open,27/05/13,Grand Slam,Outdoor,Clay,1st Round,Levine J.,Nishikori K.,90.0,15.0,588.0,2315.0,3.0,6.0,2.0,6.0,0.0,6.0,,,,,0.0,3.0,0.0
French Open,27/05/13,Grand Slam,Outdoor,Clay,1st Round,Mannarino A.,Cuevas P.,110.0,762.0,502.0,21.0,3.0,6.0,6.0,2.0,3.0,6.0,7.0,5.0,5.0,7.0,2.0,3.0,0.0
French Open,27/05/13,Grand Slam,Outdoor,Clay,1st Round,Kyrgios N.,Stepanek R.,262.0,52.0,175.0,840.0,7.0,6.0,7.0,6.0,7.0,6.0,,,,,3.0,0.0,1.0
French Open,27/05/13,Grand Slam,Outdoor,Clay,1st Round,Struff J.L.,Donskoy E.,117.0,82.0,461.0,639.0,6.0,7.0,6.0,2.0,6.0,7.0,2.0,6.0,,,1.0,3.0,0.0
French Open,27/05/13,Grand Slam,Outdoor,Clay,1st Round,Alund M.,Roger-Vasselin E.,100.0,65.0,556.0,736.0,2.0,6.0,6.0,4.0,1.0,6.0,0.0,6.0,,,1.0,3.0,0.0
French Open,27/05/13,Grand Slam,Outdoor,Clay,1st Round,Sijsling I.,Melzer J.,62.0,37.0,762.0,1085.0,6.0,4.0,6.0,3.0,6.0,2.0,,,,,3.0,0.0,1.0
