Tournament,Date,Series,Court,Surface,Round,P,S,PRank,SRank,PPts,SPts,P1,S1,P2,S2,P3,S3,P4,S4,P5,S5,Psets,Ssets,Gana_P
Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,Harris A.,Berrettini M.,162.0,8.0,316.0,2870.0,3.0,6.0,1.0,6.0,3.0,6.0,,,,,0.0,3.0,0.0
Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,Berankis R.,Carballes Baena R.,69.0,83.0,804.0,664.0,6.0,4.0,6.0,2.0,6.0,2.0,,,,,3.0,0.0,1.0
Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,Mcdonald M.,Evans D.,129.0,32.0,419.0,1349.0,6.0,3.0,6.0,4.0,1.0,6.0,2.0,6.0,3.0,6.0,2.0,3.0,0.0
Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,Djere L.,Nishioka Y.,40.0,71.0,1185.0,797.0,4.0,6.0,6.0,3.0,2.0,6.0,6.0,7.0,,,1.0,3.0,0.0
Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,Pella G.,Smith J.P.,25.0,308.0,1585.0,130.0,6.0,3.0,7.0,5.0,6.0,4.0,,,,,3.0,0.0,1.0
Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,Coric B.,Querrey S.,28.0,45.0,1490.0,1100.0,3.0,6.0,4.0,6.0,4.0,6.0,,,,,0.0,3.0,0.0
Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,Barrere G.,Safwat M.,84.0,173.0,649.0,291.0,6.0,7.0,7.0,6.0,6.0,4.0,7.0,6.0,,,3.0,1.0,1.0
Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,Fucsovics M.,Shapovalov D.,67.0,13.0,827.0,2200.0,6.0,3.0,6.0,7.0,6.0,1.0,7.0,6.0,,,3.0,1.0,1.0
Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,Federer R.,Johnson S.,3.0,75.0,6590.0,720.0,6.0,3.0,6.0,2.0,6.0,2.0,,,,,3.0,0.0,1.0
Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,Londero J.I.,Dimitrov G.,52.0,20.0,1017.0,1772.0,6.0,4.0,2.0,6.0,0.0,6.0,4.0,6.0,,,1.0,3.0,0.0
Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,Caruso S.,Tsitsipas S.,95.0,6.0,586.0,5375.0,0.0,6.0,2.0,6.0,3.0,6.0,,,,,0.0,3.0,0.0
Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,Kohlschreiber P.,Giron M.,79.0,107.0,700.0,521.0,7.0,5.0,6.0,1.0,6.0,2.0,,,,,3.0,0.0,1.0
Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,Struff J.L.,Djokovic N.,37.0,2.0,1270.0,9720.0,6.0,7.0,2.0,6.0,6.0,2.0,1.0,6.0,,,1.0,3.0,0.0
Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,Moutet C.,Cilic M.,70.0,39.0,800.0,1205.0,3.0,6.0,2.0,6.0,4.0,6.0,,,,,0.0,3.0,0.0
