,Unnamed: 0,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,labeled Home,labeled Away,Basket_Average_Home,Dif_Home,Basket_Average_Away,Dif_Away
6614,566,2022-05-11,42100215,Final,1610612738,1610612749,2021,1610612738,107.0,0.512,0.867,0.323,25.0,36.0,1610612749,110.0,0.435,0.81,0.448,22.0,49.0,0,1,12,9.666666666666671,-0.4761904761904816,-10.0,-8.0
6613,567,2022-05-11,42100235,Final,1610612763,1610612744,2021,1610612763,134.0,0.475,0.733,0.439,37.0,55.0,1610612744,95.0,0.45,0.692,0.359,22.0,37.0,1,26,7,8.0,8.0,6.333333333333343,1.9696969696969688
6612,568,2022-05-10,42100205,Final,1610612748,1610612755,2021,1610612748,120.0,0.536,0.739,0.394,26.0,46.0,1610612755,85.0,0.365,0.933,0.281,14.0,36.0,1,11,18,-4.75,1.25,-21.0,-21.0
6611,569,2022-05-10,42100225,Final,1610612756,1610612742,2021,1610612756,110.0,0.494,0.75,0.375,28.0,50.0,1610612742,80.0,0.38,0.667,0.25,9.0,38.0,1,19,5,-4.5,-6.5,3.142857142857153,-1.5238095238095184
6610,570,2022-05-09,42100214,Final,1610612749,1610612738,2021,1610612749,108.0,0.415,0.778,0.333,18.0,48.0,1610612738,116.0,0.5,0.9,0.378,25.0,38.0,0,12,1,-11.0,-1.0,9.75,0.0833333333333286
6609,571,2022-05-09,42100234,Final,1610612744,1610612763,2021,1610612744,101.0,0.4,0.909,0.243,25.0,54.0,1610612763,98.0,0.417,0.6,0.257,25.0,48.0,1,7,26,7.384615384615387,1.051282051282044,14.5,6.5
6608,572,2022-05-08,42100224,Final,1610612742,1610612756,2021,1610612742,111.0,0.447,0.789,0.455,22.0,37.0,1610612756,101.0,0.464,0.778,0.36,27.0,44.0,1,5,19,2.125,-1.017857142857153,-9.0,-4.5
6607,573,2022-05-08,42100204,Final,1610612755,1610612748,2021,1610612755,116.0,0.544,0.765,0.485,25.0,32.0,1610612748,108.0,0.463,0.893,0.2,24.0,33.0,1,18,11,-14.5,6.5,-3.0,1.75
6606,574,2022-05-07,42100213,Final,1610612749,1610612738,2021,1610612749,103.0,0.404,0.824,0.265,20.0,53.0,1610612738,101.0,0.368,0.824,0.273,23.0,47.0,1,12,1,-7.25,3.75,9.352941176470594,-0.3970588235294059
6605,575,2022-05-07,42100233,Final,1610612744,1610612763,2021,1610612744,142.0,0.624,0.905,0.531,34.0,38.0,1610612763,112.0,0.435,0.762,0.372,21.0,30.0,1,7,26,8.214285714285722,0.8296703296703356,5.666666666666671,-8.833333333333329
6604,576,2022-05-06,42100203,Final,1610612755,1610612748,2021,1610612755,99.0,0.478,0.864,0.485,22.0,43.0,1610612748,79.0,0.351,0.75,0.233,14.0,36.0,1,18,11,-15.333333333333329,-0.8333333333333286,-4.400000000000006,-1.4000000000000057
6603,577,2022-05-06,42100223,Final,1610612742,1610612756,2021,1610612742,103.0,0.444,0.769,0.333,25.0,36.0,1610612756,94.0,0.447,0.867,0.464,23.0,45.0,1,5,19,0.11111111111111427,-2.0138888888888857,-9.0,0.0
6602,578,2022-05-04,42100202,Final,1610612748,1610612755,2021,1610612748,119.0,0.513,0.806,0.483,25.0,44.0,1610612755,103.0,0.452,0.864,0.267,17.0,34.0,1,11,18,-4.545454545454547,-0.14545454545454106,-6.75,8.583333333333329
6601,579,2022-05-04,42100222,Final,1610612756,1610612742,2021,1610612756,129.0,0.645,0.857,0.52,28.0,34.0,1610612742,109.0,0.456,0.833,0.415,19.0,25.0,1,19,5,-16.799999999999997,-7.799999999999997,-2.8999999999999915,-3.0111111111111057
6600,580,2022-05-03,42100212,Final,1610612738,1610612749,2021,1610612738,109.0,0.475,0.867,0.465,28.0,40.0,1610612749,86.0,0.466,0.652,0.167,16.0,37.0,1,1,12,8.888888888888886,-0.46405228758170836,-4.200000000000003,3.049999999999997
6599,581,2022-05-03,42100232,Final,1610612763,1610612744,2021,1610612763,106.0,0.396,0.952,0.311,17.0,49.0,1610612744,101.0,0.421,0.778,0.184,27.0,52.0,1,26,7,1.25,-4.416666666666671,8.799999999999997,0.5857142857142748
6598,582,2022-05-02,42100201,Final,1610612748,1610612755,2021,1610612748,106.0,0.435,0.944,0.25,21.0,47.0,1610612755,92.0,0.43,0.9,0.176,18.0,37.0,1,11,18,-4.416666666666657,0.12878787878788955,-0.6000000000000085,6.1499999999999915
6597,583,2022-05-02,42100221,Final,1610612756,1610612742,2021,1610612756,121.0,0.505,1.0,0.393,27.0,51.0,1610612742,114.0,0.471,0.72,0.41,16.0,36.0,1,19,5,-14.333333333333329,2.4666666666666686,-1.818181818181813,1.0818181818181785
6596,584,2022-05-01,42100211,Final,1610612738,1610612749,2021,1610612738,89.0,0.333,0.75,0.36,21.0,48.0,1610612749,101.0,0.411,0.714,0.353,22.0,54.0,0,1,12,8.78947368421052,-0.0994152046783654,-6.666666666666671,-2.4666666666666686
6595,585,2022-05-01,42100231,Final,1610612763,1610612744,2021,1610612763,116.0,0.432,0.75,0.4,26.0,46.0,1610612744,117.0,0.484,0.65,0.368,31.0,52.0,0,26,7,9.200000000000003,7.950000000000003,9.75,0.9500000000000028
6594,586,2022-04-29,42100156,Final,1610612750,1610612763,2021,1610612750,106.0,0.452,0.692,0.387,22.0,37.0,1610612763,114.0,0.465,0.792,0.469,24.0,55.0,0,13,26,0.0,0.0,9.666666666666671,0.46666666666666856
6593,587,2022-04-28,42100136,Final,1610612761,1610612755,2021,1610612761,97.0,0.393,0.8,0.2,15.0,37.0,1610612755,132.0,0.58,0.957,0.4,32.0,47.0,0,24,18,0.0,0.0,-1.3333333333333286,-0.7333333333333201
6592,588,2022-04-28,42100146,Final,1610612740,1610612756,2021,1610612740,109.0,0.506,0.895,0.333,25.0,36.0,1610612756,115.0,0.6,0.944,0.4,23.0,32.0,0,3,19,0.0,0.0,-18.285714285714292,-3.952380952380963
6591,589,2022-04-28,42100176,Final,1610612762,1610612742,2021,1610612762,96.0,0.429,0.75,0.257,20.0,48.0,1610612742,98.0,0.45,0.818,0.395,22.0,37.0,0,25,5,0.0,0.0,-2.0833333333333286,-0.2651515151515156
6590,590,2022-04-27,42100125,Final,1610612749,1610612741,2021,1610612749,116.0,0.494,0.8,0.389,23.0,51.0,1610612741,100.0,0.424,0.636,0.288,24.0,37.0,1,12,4,-5.285714285714278,1.3809523809523938,0.0,0.0
6589,591,2022-04-27,42100165,Final,1610612744,1610612743,2021,1610612744,102.0,0.451,0.714,0.419,28.0,37.0,1610612743,98.0,0.444,0.69,0.207,26.0,50.0,1,7,6,10.411764705882362,0.6617647058823621,0.0,0.0
6588,592,2022-04-26,42100105,Final,1610612748,1610612737,2021,1610612748,97.0,0.451,0.762,0.226,19.0,33.0,1610612737,94.0,0.419,0.857,0.32,15.0,42.0,1,11,0,-3.615384615384613,0.801282051282044,0.0,0.0
6587,593,2022-04-26,42100155,Final,1610612763,1610612750,2021,1610612763,111.0,0.415,0.667,0.25,24.0,53.0,1610612750,109.0,0.446,0.875,0.424,23.0,42.0,1,26,13,9.714285714285708,0.04761904761903679,9.0,9.0
6586,594,2022-04-26,42100145,Final,1610612756,1610612740,2021,1610612756,112.0,0.5,0.8,0.37,28.0,40.0,1610612740,97.0,0.4,0.8,0.2,14.0,47.0,1,19,3,-15.75,2.535714285714292,-4.0,-4.0
6585,595,2022-04-25,42100114,Final,1610612751,1610612738,2021,1610612751,112.0,0.506,0.586,0.371,28.0,38.0,1610612738,116.0,0.472,0.818,0.4,26.0,45.0,0,14,1,0.0,0.0,8.549999999999997,-0.23947368421052317
