ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Goffin D.,Opelka R.,10,35,2555,1312,7,6,3,6,6,1,6,4,,,3,1,Completed,1.57,2.37,1.6,2.52,1.63,2.6,1.56,2.43
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Krajinovic F.,Ymer M.,26,71,1503,759,6,2,7,6,6,3,,,,,3,0,Completed,1.12,6,1.16,6.09,1.18,6.6,1.14,5.66
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Harris L.,Cecchinato M.,95,108,641,526,6,4,7,5,6,2,,,,,3,0,Completed,1.2,4.5,1.25,4.48,1.28,4.8,1.22,4.26
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Dzumhur D.,1,109,10860,524,6,1,6,4,6,1,,,,,3,0,Completed,1.01,26,1.01,28.01,1.02,35,1.01,21.84
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Struff J.L.,Martinez P.,29,106,1405,546,6,0,7,5,6,4,,,,,3,0,Completed,1.12,6,1.16,6.08,1.16,6.6,1.14,5.64
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Garin C.,Blanch U.,19,244,1900,207,4,6,5,7,6,4,6,4,6,2,3,2,Completed,1.36,3.2,1.38,3.34,1.41,3.35,1.36,3.16
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Mmoh M.,Sousa J.,186,68,281,776,6,2,7,5,2,6,6,1,,,3,1,Completed,1.72,2.1,1.8,2.13,1.84,2.15,1.77,2.05
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Kuznetsov An.,Querrey S.,34,45,1527,1045,6,4,7,6,6,2,,,,,3,0,Completed,6,1.12,7.7,1.12,7.75,1.17,6.45,1.12
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Murray A.,Nishioka Y.,115,49,502,1007,4,6,4,6,7,6,7,6,6,4,3,2,Completed,1.4,3,1.4,3.2,1.43,3.35,1.38,3.07
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Ruud C.,Mcdonald M.,37,243,1279,207,4,6,4,6,6,4,6,3,6,2,3,2,Completed,1.57,2.37,1.64,2.41,1.67,2.62,1.58,2.39
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Nagal S.,Klahn B.,124,129,448,436,6,1,6,3,3,6,6,1,,,3,1,Completed,2.62,1.5,2.53,1.59,2.9,1.63,2.61,1.5
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Ruusuvuori E.,Bedene A.,92,53,648,965,6,3,3,6,6,1,4,6,6,1,3,2,Completed,2,1.8,2.16,1.78,2.25,1.86,2.1,1.74
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Khachanov K.,Sinner J.,16,74,2120,733,3,6,6,7,6,2,6,0,7,6,3,2,Completed,1.57,2.37,1.55,2.64,1.61,2.67,1.54,2.48
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Thiem D.,Munar J.,3,105,7135,548,7,6,6,3,,,,,,,2,0,Retired,1.05,11,1.05,13.44,1.07,13.44,1.05,10.48
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Auger-Aliassime F.,Monteiro T.,21,83,1806,700,6,3,6,7,7,6,7,6,,,3,1,Completed,1.08,8,1.12,7.57,1.14,8.6,1.1,7.05
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Cilic M.,Kudla D.,38,111,1225,521,6,7,3,6,7,5,7,5,6,3,3,2,Completed,1.3,3.5,1.33,3.69,1.34,4,1.3,3.54
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Rublev A.,Chardy J.,14,60,2234,860,6,4,6,4,6,3,,,,,3,0,Completed,1.12,6,1.13,7.16,1.17,7.5,1.12,6.31
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Barrere G.,Daniel T.,93,112,647,511,6,3,6,4,3,6,6,1,,,3,1,Completed,1.44,2.75,1.47,2.9,1.49,3.1,1.44,2.8
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Gombos N.,Albot R.,104,70,550,772,6,4,6,1,6,4,,,,,3,0,Completed,1.4,3,1.51,2.76,1.51,3.02,1.46,2.72
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Evans D.,Seyboth Wild T.,31,113,1384,507,6,2,6,1,7,6,,,,,3,0,Completed,1.12,6,1.17,5.86,1.17,6.6,1.14,5.73
