ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
51,New York,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,5,Shelton B.,Cachin P.,47,66,1015,822,1,6,6,3,6,2,6,4,,,3,1,Completed,1.17,5,1.23,4.69,1.25,6.05,1.2,4.62
51,New York,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,5,Ofner S.,Borges N.,58,79,868,754,7,6,3,6,7,6,6,4,,,3,1,Completed,1.67,2.2,1.83,2.1,1.84,2.22,1.76,2.08
51,New York,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,5,Zhang Zh.,Wolf J.J.,67,45,817,1025,7,5,7,5,6,7,4,6,6,3,3,2,Completed,3.2,1.36,3.39,1.37,3.45,1.43,3.13,1.37
51,New York,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,5,Cerundolo J.M.,Ivashka I.,93,103,630,571,2,6,6,7,6,3,6,3,6,3,3,2,Completed,3,1.4,3.22,1.4,3.22,1.47,3.03,1.39
51,New York,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,5,Marozsan F.,Gasquet R.,92,55,635,915,6,3,6,1,6,7,6,7,6,2,3,2,Completed,2.75,1.44,2.9,1.47,3.1,1.52,2.75,1.46
51,New York,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,5,Mannarino A.,Watanuki Y.,35,85,1206,686,7,5,6,7,6,3,7,5,,,3,1,Completed,1.5,2.63,1.56,2.59,1.67,2.63,1.53,2.54
51,New York,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,5,Thiem D.,Bublik A.,81,27,726,1384,6,3,6,2,6,4,,,,,3,0,Completed,2.38,1.57,2.41,1.65,2.55,1.69,2.38,1.59
51,New York,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,5,Davidovich Fokina A.,Giron M.,21,62,1525,850,6,4,6,4,6,2,,,,,3,0,Completed,1.44,2.75,1.49,2.84,1.49,3.07,1.44,2.82
51,New York,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,5,Carballes Baena R.,Rune H.,63,4,840,4790,6,3,4,6,6,3,6,2,,,3,1,Completed,6,1.13,8.09,1.11,8.09,1.15,6.65,1.11
51,New York,US Open,28/08/2023,Grand Slam,Outdoor,Hard,1st Round,5,Ruud C.,Nava E.,5,154,4715,402,7,6,3,6,6,4,7,6,,,3,1,Completed,1.14,5.5,1.17,5.85,1.19,5.85,1.15,5.41
