ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
22,Paris,French Open,27/09/2020,Grand Slam,Outdoor,Clay,1st Round,5,Bonzi B.,Ruusuvuori E.,227,93,239,686,6,2,6,4,4,6,6,4,,,3,1,Completed,3,1.4,3.03,1.44,3.2,1.45,2.89,1.42
22,Paris,French Open,27/09/2020,Grand Slam,Outdoor,Clay,1st Round,5,Korda S.,Seppi A.,213,98,252,679,6,2,4,6,6,3,6,3,,,3,1,Completed,1.44,2.75,1.45,3,1.46,3.05,1.43,2.83
22,Paris,French Open,27/09/2020,Grand Slam,Outdoor,Clay,1st Round,5,Sinner J.,Goffin D.,75,13,788,2555,7,5,6,0,6,3,,,,,3,0,Completed,1.9,1.9,2.16,1.78,2.16,1.92,1.97,1.84
22,Paris,French Open,27/09/2020,Grand Slam,Outdoor,Clay,1st Round,5,Fritz T.,Machac T.,30,253,1625,205,7,5,7,6,1,6,2,6,6,3,3,2,Completed,1.4,3,1.43,3.05,1.43,3.25,1.39,3.03
22,Paris,French Open,27/09/2020,Grand Slam,Outdoor,Clay,1st Round,5,Nishikori K.,Evans D.,35,34,1345,1384,1,6,6,1,7,6,1,6,6,4,3,2,Completed,1.57,2.37,1.6,2.5,1.66,2.79,1.52,2.56
22,Paris,French Open,27/09/2020,Grand Slam,Outdoor,Clay,1st Round,5,Coria F.,Jung J.,99,125,671,464,7,5,7,6,7,6,,,,,3,0,Completed,1.28,3.75,1.35,3.51,1.35,3.75,1.31,3.44
22,Paris,French Open,27/09/2020,Grand Slam,Outdoor,Clay,1st Round,5,Rodionov J.,Chardy J.,170,65,338,860,3,6,4,6,7,6,6,4,10,8,3,2,Completed,2,1.8,2,1.91,2.03,1.94,1.94,1.87
22,Paris,French Open,27/09/2020,Grand Slam,Outdoor,Clay,1st Round,5,Travaglia S.,Andujar P.,74,51,794,1024,6,3,6,4,6,4,,,,,3,0,Completed,2.2,1.66,2.24,1.73,2.29,1.75,2.15,1.71
22,Paris,French Open,27/09/2020,Grand Slam,Outdoor,Clay,1st Round,5,Isner J.,Benchetrit E.,23,217,1805,249,6,4,6,1,6,3,,,,,3,0,Completed,1.25,4,1.29,4,1.29,4.63,1.25,4.01
22,Paris,French Open,27/09/2020,Grand Slam,Outdoor,Clay,1st Round,5,Cecchinato M.,De Minaur A.,110,28,551,1665,7,6,6,4,6,0,,,,,3,0,Completed,1.72,2.1,1.71,2.27,1.82,2.27,1.71,2.15
22,Paris,French Open,27/09/2020,Grand Slam,Outdoor,Clay,1st Round,5,Gombos N.,Coric B.,106,27,587,1670,6,4,3,6,6,3,6,4,,,3,1,Completed,6,1.12,7.61,1.12,7.61,1.14,6.6,1.11
22,Paris,French Open,27/09/2020,Grand Slam,Outdoor,Clay,1st Round,5,Koepfer D.,Hoang A.,61,126,886,462,6,2,3,6,6,1,6,1,,,3,1,Completed,1.28,3.75,1.34,3.56,1.36,3.8,1.3,3.54
22,Paris,French Open,27/09/2020,Grand Slam,Outdoor,Clay,1st Round,5,Albot R.,Thompson J.,79,55,772,984,6,2,6,4,6,1,,,,,3,0,Completed,2.5,1.53,2.73,1.52,2.73,1.55,2.58,1.51
22,Paris,French Open,27/09/2020,Grand Slam,Outdoor,Clay,1st Round,5,Paire B.,Kwon S.W.,26,82,1738,752,7,5,6,4,6,4,,,,,3,0,Completed,2.1,1.72,2.27,1.71,2.27,1.75,2.19,1.68
22,Paris,French Open,27/09/2020,Grand Slam,Outdoor,Clay,1st Round,5,Londero J.I.,Delbonis F.,69,81,832,758,6,4,7,6,2,6,1,6,14,12,3,2,Completed,2.2,1.66,2.34,1.68,2.37,1.69,2.27,1.64
