ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,5,Raonic M.,Coria F.,14,92,2630,785,6,3,6,3,6,2,,,,,3,0,Completed,1.01,26,1.01,26.84,1.02,34,1.01,21.38
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,5,Mannarino A.,Novak D.,36,98,1561,752,6,2,6,4,7,6,,,,,3,0,Completed,1.66,2.2,1.66,2.37,1.83,2.37,1.68,2.19
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,5,Ruusuvuori E.,Monfils G.,86,11,816,2860,3,6,6,4,7,5,3,6,6,3,3,2,Completed,1.61,2.3,1.56,2.59,1.78,2.6,1.56,2.42
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,5,Moutet C.,Millman J.,71,39,928,1421,6,4,6,7,3,6,6,2,6,3,3,2,Completed,3,1.4,2.88,1.48,3.05,1.5,2.78,1.44
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,5,Opelka R.,Lu Y.,38,1009,1422,10,6,3,7,6,6,3,,,,,3,0,Completed,1.06,10,1.05,14.72,1.07,15,1.04,11.4
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,5,Wawrinka S.,Sousa P.,18,107,2365,701,6,3,6,2,6,4,,,,,3,0,Completed,1.08,8,1.09,9.33,1.1,11.25,1.08,8.13
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,5,Bolt A.,Gombos N.,166,89,400,797,6,2,6,2,4,6,6,3,,,3,1,Completed,1.66,2.2,1.88,2.02,1.94,2.4,1.74,2.09
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,5,Martinez P.,Nishioka Y.,87,58,810,1062,6,7,6,1,6,1,6,1,,,3,1,Completed,3.2,1.36,3.1,1.43,3.25,1.47,3,1.38
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,5,Fritz T.,Ramos-Vinolas A.,31,46,1695,1210,7,6,3,6,6,2,7,6,,,3,1,Completed,1.14,5.5,1.18,5.63,1.2,6.05,1.15,5.47
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,5,Fucsovics M.,Polmans M.,55,126,1072,546,4,6,6,3,6,1,6,7,6,3,3,2,Completed,1.16,5,1.23,4.67,1.24,5.3,1.19,4.58
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,5,Thiem D.,Kukushkin M.,3,90,9125,796,7,6,6,2,6,3,,,,,3,0,Completed,1.02,17,1.04,16.39,1.05,21,1.02,15.11
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,5,Karatsev A.,Mager G.,114,96,642,770,6,3,6,3,6,4,,,,,3,0,Completed,1.25,4,1.26,4.33,1.32,4.55,1.24,4
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,5,Kecmanovic M.,Majchrzak K.,41,109,1353,690,6,2,6,4,6,3,,,,,3,0,Completed,1.44,2.75,1.49,2.85,1.49,3.1,1.42,2.87
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,5,Zverev A.,Giron M.,7,75,5615,889,6,7,7,6,6,3,6,2,,,3,1,Completed,1.05,11,1.06,11.72,1.09,12,1.06,9.63
5,Melbourne,Australian Open,08/02/2021,Grand Slam,Outdoor,Hard,1st Round,5,Bublik A.,Bedene A.,45,57,1220,1065,6,4,7,5,5,7,6,4,,,3,1,Completed,2,1.8,1.99,1.92,2.05,2.05,1.95,1.86
